Output from NeEstimator v2.1
Starting time: Fri Oct 09 14:22:39 2020
Input File: "snps.gen"

Number of Loci = 897


LINKAGE DISEQUILIBRIUM METHOD, Mating Model: Random

Lowest allele frequencies used:     0.0500    0.0200    0.0100
Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------
                   	         	      	             	            	         	          	         	    Parametric CI		    Jackknife CI
Population [#:Name]	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	       Low	      High	       Low	      High	  (Eff.df)
28:V367            	      1  	0.0500	       1.0   	       856  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0200	       1.0   	       856  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0100	       1.0   	       856  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
29:V112            	      4  	0.0500	       1.2   	       216  	 0.255924	  2.884805	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         4
                   	         	0.0200	       1.2   	       216  	 0.255924	  2.884805	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         4
                   	         	0.0100	       1.2   	       216  	 0.255924	  2.884805	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         4
30:V116            	      2  	0.0500	       1.2   	       138  	 0.269504	  2.772800	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0200	       1.2   	       138  	 0.269504	  2.772800	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0100	       1.2   	       138  	 0.269504	  2.772800	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
31:V118            	      2  	0.0500	       1.1   	       347  	 0.275168	  3.241213	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0200	       1.1   	       347  	 0.275168	  3.241213	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
                   	         	0.0100	       1.1   	       347  	 0.275168	  3.241213	     -0.5	  Infinite	  Infinite	  Infinite	  Infinite	         0
32:V120            	     10  	0.0500	       8.7   	      7907  	 0.139136	  0.157555	    -18.3	  Infinite	  Infinite	  Infinite	  Infinite	       684
                   	         	0.0200	       8.7   	      7907  	 0.139136	  0.157555	    -18.3	  Infinite	  Infinite	  Infinite	  Infinite	       684
                   	         	0.0100	       8.7   	      7907  	 0.139136	  0.157555	    -18.3	  Infinite	  Infinite	  Infinite	  Infinite	       684
33:V498            	     15  	0.0500	       7.2   	     18985  	 0.203395	  0.190820	     22.7	      16.5	      34.3	       1.7	  Infinite	        88
                   	         	0.0200	       7.3   	     20150  	 0.201123	  0.186953	     19.9	      15.1	      28.1	       1.8	  Infinite	        92
                   	         	0.0100	       7.3   	     20150  	 0.201123	  0.186953	     19.9	      15.1	      28.1	       1.8	  Infinite	        92
34:V775            	     12  	0.0500	       2.5   	      3726  	 0.430089	  0.712382	     -2.0	  Infinite	  Infinite	  Infinite	  Infinite	       254
                   	         	0.0200	       2.5   	      3726  	 0.430089	  0.712382	     -2.0	  Infinite	  Infinite	  Infinite	  Infinite	       254
                   	         	0.0100	       2.5   	      3726  	 0.430089	  0.712382	     -2.0	  Infinite	  Infinite	  Infinite	  Infinite	       254
35:V368            	      9  	0.0500	       5.1   	      1879  	 0.213927	  0.274442	     -6.4	  Infinite	  Infinite	      13.1	  Infinite	        87
                   	         	0.0200	       5.1   	      1879  	 0.213927	  0.274442	     -6.4	  Infinite	  Infinite	      13.1	  Infinite	        87
                   	         	0.0100	       5.1   	      1879  	 0.213927	  0.274442	     -6.4	  Infinite	  Infinite	      13.1	  Infinite	        87
36:V377            	      6  	0.0500	       3.3   	      9967  	 0.453611	  0.525321	     -5.6	  Infinite	  Infinite	       1.2	  Infinite	        67
                   	         	0.0200	       3.3   	      9967  	 0.453611	  0.525321	     -5.6	  Infinite	  Infinite	       1.2	  Infinite	        67
                   	         	0.0100	       3.3   	      9967  	 0.453611	  0.525321	     -5.6	  Infinite	  Infinite	       1.2	  Infinite	        67
37:V194            	     13  	0.0500	       6.2   	      7392  	 0.211724	  0.219125	    -43.2	  Infinite	  Infinite	       2.1	  Infinite	        87
                   	         	0.0200	       6.4   	      8625  	 0.202802	  0.206692	    -80.8	     132.1	  Infinite	       2.7	  Infinite	       124
                   	         	0.0100	       6.4   	      8625  	 0.202802	  0.206692	    -80.8	     132.1	  Infinite	       2.7	  Infinite	       124
38:V207            	     16  	0.0500	       1.9   	      1361  	 0.407684	  0.780617	     -1.7	  Infinite	  Infinite	  Infinite	  Infinite	       109
                   	         	0.0200	       1.9   	      1369  	 0.399593	  0.765497	     -1.7	  Infinite	  Infinite	  Infinite	  Infinite	       105
                   	         	0.0100	       1.9   	      1369  	 0.399593	  0.765497	     -1.7	  Infinite	  Infinite	  Infinite	  Infinite	       105
39:V436            	     18  	0.0500	       4.3   	      4722  	 0.265675	  0.311109	     -8.2	  Infinite	  Infinite	       2.6	  Infinite	        83
                   	         	0.0200	       4.6   	      5397  	 0.240600	  0.279804	     -9.3	  Infinite	  Infinite	       3.9	  Infinite	        99
                   	         	0.0100	       4.6   	      5397  	 0.240600	  0.279804	     -9.3	  Infinite	  Infinite	       3.9	  Infinite	        99
40:V787            	      5  	0.0500	       3.5   	      2020  	 0.395559	  0.546391	     -3.1	  Infinite	  Infinite	  Infinite	  Infinite	       259
                   	         	0.0200	       3.5   	      2020  	 0.395559	  0.546391	     -3.1	  Infinite	  Infinite	  Infinite	  Infinite	       259
                   	         	0.0100	       3.5   	      2020  	 0.395559	  0.546391	     -3.1	  Infinite	  Infinite	  Infinite	  Infinite	       259
41:V513            	     14  	0.0500	       8.4   	      3409  	 0.146739	  0.153823	    -45.1	    2212.3	  Infinite	       3.0	  Infinite	        79
                   	         	0.0200	       9.0   	      5808  	 0.133122	  0.140109	    -45.7	  Infinite	  Infinite	       8.2	  Infinite	       145
                   	         	0.0100	       9.0   	      5808  	 0.133122	  0.140109	    -45.7	  Infinite	  Infinite	       8.2	  Infinite	       145
42:V527            	      3  	0.0500	       2.5   	      2491  	 0.541819	  0.943317	     -1.6	  Infinite	  Infinite	  Infinite	  Infinite	       167
                   	         	0.0200	       2.5   	      2491  	 0.541819	  0.943317	     -1.6	  Infinite	  Infinite	  Infinite	  Infinite	       167
                   	         	0.0100	       2.5   	      2491  	 0.541819	  0.943317	     -1.6	  Infinite	  Infinite	  Infinite	  Infinite	       167
43:V867            	      3  	0.0500	       1.4   	       167  	 0.163582	  1.909131	     -0.6	  Infinite	  Infinite	       0.0	  Infinite	         1
                   	         	0.0200	       1.4   	       167  	 0.163582	  1.909131	     -0.6	  Infinite	  Infinite	       0.0	  Infinite	         1
                   	         	0.0100	       1.4   	       167  	 0.163582	  1.909131	     -0.6	  Infinite	  Infinite	       0.0	  Infinite	         1
44:V990            	     10  	0.0500	       1.7   	      4996  	 0.460693	  1.104194	     -1.2	  Infinite	  Infinite	  Infinite	  Infinite	       117
                   	         	0.0200	       1.7   	      4996  	 0.460693	  1.104194	     -1.2	  Infinite	  Infinite	  Infinite	  Infinite	       117
                   	         	0.0100	       1.7   	      4996  	 0.460693	  1.104194	     -1.2	  Infinite	  Infinite	  Infinite	  Infinite	       117
45:V1123           	     20  	0.0500	       8.2   	      3511  	 0.129459	  0.129827	   -836.9	      50.4	  Infinite	      10.9	  Infinite	       285
                   	         	0.0200	       9.2   	      6448  	 0.118019	  0.119023	   -308.6	      95.2	  Infinite	      16.0	  Infinite	       402
                   	         	0.0100	       9.2   	      6448  	 0.118019	  0.119023	   -308.6	      95.2	  Infinite	      16.0	  Infinite	       402
46:V245            	      5  	0.0500	       3.4   	      3410  	 0.399294	  0.556051	     -3.1	  Infinite	  Infinite	  Infinite	  Infinite	       351
                   	         	0.0200	       3.4   	      3410  	 0.399294	  0.556051	     -3.1	  Infinite	  Infinite	  Infinite	  Infinite	       351
                   	         	0.0100	       3.4   	      3410  	 0.399294	  0.556051	     -3.1	  Infinite	  Infinite	  Infinite	  Infinite	       351
47:V250            	     23  	0.0500	      16.5   	      3774  	 0.069514	  0.069451	   4920.2	      91.4	  Infinite	      18.2	  Infinite	       214
                   	         	0.0200	      17.1   	     10152  	 0.068247	  0.067093	    265.2	      98.6	  Infinite	      22.9	  Infinite	       352
                   	         	0.0100	      17.1   	     10152  	 0.068247	  0.067093	    265.2	      98.6	  Infinite	      22.9	  Infinite	       352
48:V273            	      4  	0.0500	       2.7   	      4206  	 0.488072	  0.779307	     -2.0	  Infinite	  Infinite	  Infinite	  Infinite	       662
                   	         	0.0200	       2.7   	      4206  	 0.488072	  0.779307	     -2.0	  Infinite	  Infinite	  Infinite	  Infinite	       662
                   	         	0.0100	       2.7   	      4206  	 0.488072	  0.779307	     -2.0	  Infinite	  Infinite	  Infinite	  Infinite	       662
49:V912            	     20  	0.0500	      13.9   	      4544  	 0.082119	  0.084869	   -113.7	     417.8	  Infinite	      16.8	  Infinite	       193
                   	         	0.0200	      14.2   	     12730  	 0.078524	  0.083563	    -62.8	  Infinite	  Infinite	      17.6	  Infinite	       155
                   	         	0.0100	      14.2   	     12730  	 0.078524	  0.083563	    -62.8	  Infinite	  Infinite	      17.6	  Infinite	       155
50:V585            	     21  	0.0500	      14.8   	       479  	 0.049286	  0.079581	    -11.6	  Infinite	  Infinite	      52.6	  Infinite	        33
                   	         	0.0200	      14.6   	      2203  	 0.097976	  0.082091	     17.5	      12.1	      28.0	       2.2	  Infinite	        49
                   	         	0.0100	      14.6   	      2203  	 0.097976	  0.082091	     17.5	      12.1	      28.0	       2.2	  Infinite	        49
51:V606            	      5  	0.0500	       4.1   	       546  	 0.202271	  0.468993	     -2.1	  Infinite	  Infinite	  Infinite	  Infinite	        37
                   	         	0.0200	       4.1   	       546  	 0.202271	  0.468993	     -2.1	  Infinite	  Infinite	  Infinite	  Infinite	        37
                   	         	0.0100	       4.1   	       546  	 0.202271	  0.468993	     -2.1	  Infinite	  Infinite	  Infinite	  Infinite	        37
52:V1000           	     28  	0.0500	       5.7   	      2885  	 0.114112	  0.152895	     -9.4	  Infinite	  Infinite	  Infinite	  Infinite	       222
                   	         	0.0200	       7.0   	      5884  	 0.108651	  0.128249	    -17.3	  Infinite	  Infinite	      21.9	  Infinite	       127
                   	         	0.0100	       7.0   	      5884  	 0.108651	  0.128249	    -17.3	  Infinite	  Infinite	      21.9	  Infinite	       127
53:V1028           	     18  	0.0500	      11.7   	       852  	 0.050297	  0.082161	    -11.1	  Infinite	  Infinite	  Infinite	  Infinite	        68
                   	         	0.0200	      13.3   	      2687  	 0.075866	  0.082287	    -49.6	  Infinite	  Infinite	      14.7	  Infinite	       109
                   	         	0.0100	      13.3   	      2687  	 0.075866	  0.082287	    -49.6	  Infinite	  Infinite	      14.7	  Infinite	       109
54:V876            	     15  	0.0500	       9.2   	      7554  	 0.131439	  0.145575	    -23.4	  Infinite	  Infinite	       5.5	  Infinite	        79
                   	         	0.0200	       9.7   	     16461  	 0.127981	  0.135996	    -40.0	  Infinite	  Infinite	       5.8	  Infinite	        96
                   	         	0.0100	       9.7   	     16461  	 0.127981	  0.135996	    -40.0	  Infinite	  Infinite	       5.8	  Infinite	        96
55:V1046           	     12  	0.0500	       4.3   	      2514  	 0.259316	  0.343325	     -4.9	  Infinite	  Infinite	       3.1	  Infinite	        54
                   	         	0.0200	       4.3   	      2552  	 0.256347	  0.339342	     -5.0	  Infinite	  Infinite	       3.2	  Infinite	        55
                   	         	0.0100	       4.3   	      2552  	 0.256347	  0.339342	     -5.0	  Infinite	  Infinite	       3.2	  Infinite	        55
56:V277            	      7  	0.0500	       4.4   	      4415  	 0.301831	  0.344483	     -8.6	  Infinite	  Infinite	      12.5	  Infinite	       229
                   	         	0.0200	       4.4   	      4415  	 0.301831	  0.344483	     -8.6	  Infinite	  Infinite	      12.5	  Infinite	       229
