locale,Het.Hom,ho,pi,n,Relative.percent.RBT,year,ne.rand,lcl.rand,ucl.rand,ne.nonrand,lcl.nonrand,ucl.nonrand
str_LEE.2016,0.033355795,0.03378362,0.034653028,11,0.6,2016,20,9,50,35,18,79
str_LIN.2000,0.014776108,0.013388824,0.012226587,8,0.075,2000,24,10,16957,Inf,1,Inf
str_LIN.2017,0.054851569,0.059185994,0.054924316,5,1.74,2017,10,4,80,250,134,2316
str_LJK.2009,0.044135374,0.038056426,0.036181163,12,0.183333333,2009,52,24,658,186,89,1966
str_LJK.2015,0.068696962,0.027604167,0.026067743,10,0.309090909,2015,11,5,29,Inf,1,Inf
str_LNF.2016,0.028703862,0.025611457,0.023120327,12,0.008333333,2016,28,14,62,53,31,119
str_LNG.2012,0.015470407,0.013098464,0.013687788,5,0,2012,Inf,1,Inf,Inf,1,Inf
str_LON.2011,0.022443463,0.019214307,0.018851256,12,0.2,2011,36,15,340,63,28,1831
str_LON.2016,0.02573505,0.024682971,0.025407609,3,1.033333333,2016,Inf,1,Inf,Inf,1,Inf
str_LTA.2000,0.006419574,0.00709707,0.006639194,3,0,2000,6,2,Inf,Inf,1,Inf
str_LWF.2015,0.103716645,0.097072121,0.08775022,9,0.644444444,2015,23,10,224,Inf,1,Inf
str_MAC.2016,0.023296509,0.025417427,0.021408622,17,0,2016,25,14,50,28,15,57
str_MAE.2016,0.023709172,0.01998645,0.018754033,5,0.08,2016,Inf,1,Inf,Inf,1,Inf
str_MAR.2017,0.018095257,0.017803322,0.017094228,20,0.05,2017,30,17,56,44,26,78
str_MAU.2016,0.042229866,0.037037037,0.033836624,4,0.3,2016,12,4,Inf,Inf,1,Inf
str_MEI.2017,0.026582218,0.020931213,0.021320884,17,0.064705882,2017,58,31,151,71,39,183
str_MHK.2000,0.007340664,0.005172302,0.00469744,20,0.02,2000,9,4,26,17,9,35
str_MHK.2016,0.006531241,0.004832882,0.004953327,5,0,2016,20,6,Inf,Inf,1,Inf
str_MIL.2015,0.038919106,0.033076765,0.02569044,20,0,2015,17,9,38,22,12,42
str_MIL.2017,0.020166905,0.020661802,0.013716151,17,0.017647059,2017,4,2,20,6,3,21
str_MOH.2013,0.026241783,0.025463501,0.025298869,10,0.57,2013,32,17,88,44,23,117
str_MPH.2011,0.029072389,0.029657612,0.022407996,12,0,2011,16,6,67,Inf,1,Inf
str_MRB.2016,0.02667554,0.025835592,0.0248032,5,0.22,2016,14,6,460,64,29,544
str_MRV.2016,0.00839935,0.009123758,0.008386028,5,0.06,2016,Inf,1,Inf,Inf,1,Inf
str_MSQ.2000,0.009813901,0.00951087,0.00951087,3,0,2000,12,3,Inf,Inf,1,Inf
str_MUR.2017,0.029169839,0.029406231,0.022351561,14,0.021428571,2017,21,11,47,36,20,73
str_NFB.2013,0.013865042,0.013592076,0.012502967,8,NA,2013,NA,NA,NA,NA,NA,NA
str_NFB.2016,0.011094228,0.01092399,0.010056369,7,0,2016,42,12,Inf,91,29,Inf
str_NFC.2012,0.008092239,0.008540716,0.00774384,16,0,2012,12,6,30,22,12,44
str_NFG.2009,0.00949591,0.009659311,0.008908992,7,0,2009,19,8,Inf,36,15,Inf
str_OHR.2011,0.043165468,0.04137931,0.04137931,1,0.7,2011,NA,NA,NA,NA,NA,NA
str_PEC.2018,0.021114629,0.021365152,0.019539009,15,0.086666667,2018,31,17,68,37,20,76
str_PKC.2000,0.00570722,0.007493188,0.007039055,2,0,2000,Inf,1,Inf,Inf,1,Inf
str_POI.2017,0.025296755,0.027269975,0.025376431,16,0.0875,2017,25,13,50,82,51,149
str_POL.2016,0.037758226,0.02930934,0.026461148,19,0.225,2016,38,22,85,83,46,189
str_ROC.2009,0.018596311,0.020452436,0.019965439,14,0,2009,46,23,280,55,27,278
str_ROC.2017,0.019400864,0.019592851,0.019077084,8,0.025,2017,28,10,Inf,70,27,Inf
str_SEC.2010,0.015803446,0.016327913,0.016481794,6,0.033333333,2010,Inf,1,Inf,Inf,1,Inf
str_SHE.2010,0.026081725,0.025588768,0.022599638,3,0.066666667,2010,Inf,1,Inf,Inf,1,Inf
str_SIL.2015,0.030774774,0.032878098,0.030811475,6,0,2015,17,6,Inf,240,102,Inf
str_SLK.2015,0.043605821,0.036561624,0.028595049,20,0.095454545,2015,20,11,38,33,20,56
str_SNO.2010,0.0154908,0.01232901,0.011534367,8,0,2010,30,13,239,70,31,636
str_TCR.2002,0.024462205,0.01994182,0.018246137,9,0.1,2002,36,12,Inf,116,48,Inf
str_TCR.2017,0.022397697,0.020207247,0.019123588,14,0.078571429,2017,31,17,66,40,23,80
str_TNY.2001,0.015982745,0.013875984,0.013606262,12,0,2001,34,17,86,180,104,448
str_TNY.2012,0.010206063,0.00952381,0.008798186,3,0,2012,Inf,1,Inf,Inf,1,Inf
str_TOJ.2017,0.018578481,0.018454797,0.016890903,17,0.017647059,2017,35,20,72,49,26,99
str_TRB.2010,0.01991603,0.019975158,0.018376238,8,0.05,2010,28,13,160,39,18,241
str_UNK.0,0.018416206,0.018083183,0.018083183,1,NA,0,NA,NA,NA,NA,NA,NA
str_UWF.2015,0.128600536,0.102395787,0.089875545,9,0.818181818,2015,31,15,117,Inf,1,Inf
str_WAC.1997,0.017457527,0.017359469,0.015930461,17,0.235294118,1997,31,16,71,46,26,100
str_WAC.2016,0.013657805,0.016081107,0.013809373,8,0,2016,24,9,Inf,600,318,Inf
str_WHO.2011,0.012865147,0.012669258,0.012164185,8,0.0375,2011,21,9,158,Inf,1,Inf
str_WIC.2000,0.021115087,0.019294861,0.017573628,16,0,2000,24,13,51,48,28,89
str_WIC.2017,0.023577731,0.02306192,0.019408057,11,0.109090909,2017,12,6,28,14,7,30
str_WIL.1996,0.016798988,0.013915416,0.013903407,8,0.025,1996,28,10,Inf,Inf,1,Inf
str_WLN.2009,0.02346702,0.021405198,0.019031191,14,0.057142857,2009,32,17,65,49,28,98
str_WLN.2017,0.021058707,0.017008646,0.016270511,8,0,2017,36,15,Inf,84,39,3795
str_WMR.2000,0.015909091,0.015603799,0.015603799,2,0,2000,Inf,1,Inf,Inf,1,Inf
str_WMR.2016,0.019151398,0.015266486,0.014492193,5,0.04,2016,20,7,Inf,59,22,Inf
