Group,Sample_ID_Prefix,Basin_Code,Stream_code,GMU,Basin,Creek,Genetic Year,UTM,UTM,Descriptor,N,Watterson’s theta (4Nu),Tajima’s theta (4Nu),Theta deviation,Mean theta,Het/Ho,He/HoStDev,% hybrid,Hyb Notes,PVA Extinction,PVA Ext L95,PVA Ext U95,PVA Abundance 2.5,PVA Abundance 50,PVA Abund Year
bamlist2_MCD_CCC_2017,MCD_CCC_2017,MCD,str_CCC,NorthWestern,Quinn,Corral Canyon,2017,403226,4648331,isolated,10,0.000288291,0.000195293,-0.384617417,0.000241792,0.036520041,0.025205491,0.3,,NA,NA,NA,NA,NA,
bamlist2_QUI_FCC_2017,QUI_FCC_2017,QUI,str_FCC,NorthWestern,Quinn,Falls Canyon,2017,439314,4594358,isolated,11,0.00066848,0.000565845,-0.166301298,0.000617162,,,2.56,,NA,NA,NA,NA,NA,
bamlist2_QUI_JCC_2017,QUI_JCC_2017,QUI,str_JCC,NorthWestern,Quinn,Jackson,2017,378751,4573276,isolated,15,0.000469433,0.000545428,0.149763842,0.00050743,,,5.59,,NA,NA,NA,NA,NA,1989
bamlist2_MCD_LIN_2000,MCD_LIN_2000,MCD,str_LIN,NorthWestern,Quinn,Line Canyon,2000,403943,4649965,isolated,9,0.000136176,0.000126252,-0.075638255,0.000131214,0.027960876,0.011449793,0.09,,21.10%,20.40%,23.40%,76,988,
bamlist2_MCD_LIN_2017,MCD_LIN_2017,MCD,str_LIN,NorthWestern,Quinn,Line Canyon,2017,403943,4649965,isolated,6,0.000546936,0.000469454,-0.15246542,0.000508195,0.073031341,0.055320947,2.47,,21.10%,20.40%,23.40%,48,134,2011
bamlist2_QUI_WAC_1997,QUI_WAC_1997,QUI,str_WAC,NorthWestern,Quinn,Washburn,1997,412701,4635558,isolated,18,0.000308345,0.000201208,-0.420513129,0.000254777,,,0.28,,14.80%,12.80%,15.90%,157,843,
bamlist2_QUI_WAC_2016,QUI_WAC_2016,QUI,str_WAC,NorthWestern,Quinn,Washburn,2016,412701,4635558,isolated,9,0.000203956,0.000157277,-0.258444017,0.000180616,,,0,,14.80%,12.80%,15.90%,130,319,2011
bamlist2_STE_BGA_2000,STE_BGA_2000,STE,str_BGA,NorthWestern,Steens out of basin,Big Alvord,2000,374970,4721087,Out of Basin Transplant,3,6.16E-05,6.81E-05,0.101639741,6.48E-05,,,0,,NA,NA,NA,NA,NA,
bamlist2_STE_CWC_2000,STE_CWC_2000,STE,str_CWC,NorthWestern,Steens out of basin,Cottonwood,2000,376149,4723409,Out of Basin Transplant,15,0.000111348,8.64E-05,-0.251864348,9.89E-05,,,0.02,,NA,NA,NA,NA,NA,
bamlist2_STE_LTA_2000,STE_LTA_2000,STE,str_LTA,NorthWestern,Steens out of basin,Little Alvord,2000,373539,4717864,Out of Basin Transplant,3,5.56E-05,5.48E-05,-0.01393679,5.52E-05,,,0,,NA,NA,NA,NA,NA,
