comparison,overall_fst,n1,n2
str_2BO~str_WLN,0.1619,10,22
str_2BO~str_WMR,0.1646,10,7
str_4BO~str_ABE,0.2313,10,15
str_4BO~str_AND,0.1477,10,7
str_4BO~str_BAT,0.2146,10,8
str_4BO~str_BEA,0.2479,10,21
str_4BO~str_BGA,0.2537,10,3
str_4BO~str_BYD,0.095,10,16
str_4BO~str_CCC,0.2338,10,10
str_4BO~str_CMC,0.2334,10,14
str_4BO~str_COY,0.2399,10,25
str_4BO~str_CRA,0.365,10,21
str_4BO~str_CWC,0.318,10,9
str_4BO~str_DIX,0.1833,10,9
str_4BO~str_EFC,0.0573,10,8
str_4BO~str_FCC,0.2301,10,9
str_4BO~str_FOR,0.1655,10,22
str_4BO~str_FRZ,0.282,10,24
str_4BO~str_GAN,0.2315,10,23
str_4BO~str_GOC,0.0492,10,10
str_4BO~str_HAN,0.1455,10,18
str_4BO~str_INC,0.3801,10,1
str_4BO~str_INK,0.2345,10,7
str_4BO~str_IPL,0.2211,10,10
str_4BO~str_JCC,0.2419,10,15
str_4BO~str_LEE,0.2265,10,11
str_4BO~str_LIN,0.1894,10,13
str_4BO~str_LJK,0.1547,10,21
str_4BO~str_LNF,0.2571,10,12
str_4BO~str_LNG,0.1573,10,5
str_4BO~str_LON,0.2392,10,15
str_4BO~str_LTA,0.2131,10,3
str_4BO~str_LWF,0.1447,10,9
str_4BO~str_MAC,0.2753,10,17
str_4BO~str_MAE,0.1999,10,5
str_4BO~str_MAR,0.2608,10,20
str_4BO~str_MAU,0.208,10,4
str_4BO~str_MEI,0.2173,10,17
str_4BO~str_MHK,0.4096,10,24
str_4BO~str_MIL,0.1698,10,37
str_4BO~str_MOH,0.1631,10,10
str_4BO~str_MPH,0.1223,10,12
str_4BO~str_MRB,0.1891,10,5
str_4BO~str_MRV,0.2803,10,5
str_4BO~str_MSQ,0.2619,10,3
str_4BO~str_MUR,0.0675,10,14
str_4BO~str_NFB,0.199,10,7
str_4BO~str_NFC,0.3495,10,16
str_4BO~str_NFG,0.2724,10,7
str_4BO~str_OHR,0.2595,10,1
str_4BO~str_PEC,0.2521,10,15
str_4BO~str_PKC,0.2384,10,2
str_4BO~str_POI,0.1238,10,16
str_4BO~str_POL,0.2339,10,19
str_4BO~str_ROC,0.243,10,22
str_4BO~str_SEC,0.2531,10,6
str_4BO~str_SHE,0.1586,10,3
str_4BO~str_SIL,0.1446,10,6
str_4BO~str_SLK,0.1042,10,20
str_4BO~str_SNO,0.2444,10,8
str_4BO~str_TCR,0.2586,10,23
str_4BO~str_TNY,0.247,10,15
str_4BO~str_TOJ,0.2575,10,17
str_4BO~str_TRB,0.1947,10,8
str_4BO~str_UNK,0.1883,10,1
str_4BO~str_UWF,0.1466,10,9
str_4BO~str_WAC,0.2655,10,25
str_4BO~str_WHO,0.2342,10,8
str_4BO~str_WIC,0.2773,10,27
str_4BO~str_WIL,0.1985,10,8
str_4BO~str_WLN,0.2264,10,22
str_4BO~str_WMR,0.237,10,7
str_ABE~str_AND,0.1238,15,7
str_ABE~str_BAT,0.1087,15,8
str_ABE~str_BEA,0.1114,15,21
str_ABE~str_BGA,0.1171,15,3
str_ABE~str_BYD,0.119,15,16
str_ABE~str_CCC,0.1416,15,10
str_ABE~str_CMC,0.1158,15,14
str_ABE~str_COY,0.0973,15,25
str_ABE~str_CRA,0.1845,15,21
str_ABE~str_CWC,0.1695,15,9
str_ABE~str_DIX,0.2273,15,9
str_ABE~str_EFC,0.211,15,8
str_ABE~str_FCC,0.2228,15,9
str_ABE~str_FOR,0.0895,15,22
str_ABE~str_FRZ,0.2076,15,24
str_ABE~str_GAN,0.1014,15,23
str_ABE~str_GOC,0.2181,15,10
str_ABE~str_HAN,0.1224,15,18
str_ABE~str_INC,0.4595,15,1
str_ABE~str_INK,0.1982,15,7
