comparison,overall_fst,n1,n2
str_BEA.2015~str_SEC.2010,0.1503,11,6
str_BEA.2015~str_SHE.2010,0.1173,11,3
str_BEA.2015~str_SIL.2015,0.129,11,6
str_BEA.2015~str_SLK.2015,0.169,11,20
str_BEA.2015~str_SNO.2010,0.1707,11,8
str_BEA.2015~str_TCR.2002,0.1138,11,9
str_BEA.2015~str_TCR.2017,0.1265,11,14
str_BEA.2015~str_TNY.2001,0.1794,11,12
str_BEA.2015~str_TNY.2012,0.1228,11,3
str_BEA.2015~str_TOJ.2017,0.1377,11,17
str_BEA.2015~str_TRB.2010,0.1208,11,8
str_BEA.2015~str_UNK.0,0.1626,11,1
str_BEA.2015~str_UWF.2015,0.2444,11,9
str_BEA.2015~str_WAC.1997,0.1948,11,17
str_BEA.2015~str_WAC.2016,0.1507,11,8
str_BEA.2015~str_WHO.2011,0.1688,11,8
str_BEA.2015~str_WIC.2000,0.166,11,16
str_BEA.2015~str_WIC.2017,0.2166,11,11
str_BEA.2015~str_WIL.1996,0.1121,11,8
str_BEA.2015~str_WLN.2009,0.1384,11,14
str_BEA.2015~str_WLN.2017,0.1042,11,8
str_BEA.2015~str_WMR.2000,0.1027,11,2
str_BEA.2015~str_WMR.2016,0.1013,11,5
str_BGA.2000~str_BYD.2015,0.1136,3,16
str_BGA.2000~str_CCC.2017,0.2019,3,10
str_BGA.2000~str_CMC.2016,0.1722,3,14
str_BGA.2000~str_COY.2009,0.1264,3,10
str_BGA.2000~str_COY.2015,0.0662,3,15
str_BGA.2000~str_CRA.2009,0.3147,3,21
str_BGA.2000~str_CWC.2000,0.0483,3,9
str_BGA.2000~str_DIX.2011,0.4632,3,6
str_BGA.2000~str_DIX.2014,0.3839,3,3
str_BGA.2000~str_EFC.2017,0.2789,3,8
str_BGA.2000~str_FCC.2017,0.159,3,9
str_BGA.2000~str_FOR.1997,0.1167,3,7
str_BGA.2000~str_FOR.2017,0.1203,3,16
str_BGA.2000~str_FRZ.1997,0.2299,3,5
str_BGA.2000~str_FRZ.2000,0.3435,3,6
str_BGA.2000~str_FRZ.2017,0.2137,3,14
str_BGA.2000~str_GAN.2000,0.1845,3,6
str_BGA.2000~str_GAN.2017,0.1175,3,17
str_BGA.2000~str_GOC.2017,0.2815,3,10
str_BGA.2000~str_HAN.2012,0.1027,3,18
str_BGA.2000~str_INC.1998,0.5805,3,1
str_BGA.2000~str_INK.2000,0.3635,3,4
str_BGA.2000~str_INK.2013,0.4571,3,2
str_BGA.2000~str_INK.2016,0.6378,3,2
str_BGA.2000~str_IPL.2016,0.15,3,10
str_BGA.2000~str_JCC.2017,0.1324,3,15
str_BGA.2000~str_LEE.2016,0.1818,3,11
str_BGA.2000~str_LIN.2000,0.2694,3,8
str_BGA.2000~str_LIN.2017,0.1321,3,5
str_BGA.2000~str_LJK.2009,0.0636,3,12
str_BGA.2000~str_LJK.2015,0.1818,3,10
str_BGA.2000~str_LNF.2016,0.2243,3,12
str_BGA.2000~str_LNG.2012,0.207,3,5
str_BGA.2000~str_LON.2011,0.1366,3,12
str_BGA.2000~str_LON.2016,0.2082,3,3
str_BGA.2000~str_LTA.2000,0.0845,3,3
str_BGA.2000~str_LWF.2015,0.1985,3,9
str_BGA.2000~str_MAC.2016,0.1824,3,17
str_BGA.2000~str_MAE.2016,0.2082,3,5
str_BGA.2000~str_MAR.2017,0.0822,3,20
str_BGA.2000~str_MAU.2016,0.1194,3,4
str_BGA.2000~str_MEI.2017,0.1237,3,17
str_BGA.2000~str_MHK.2000,0.3124,3,20
str_BGA.2000~str_MHK.2016,0.2797,3,5
str_BGA.2000~str_MIL.2015,0.2625,3,20
str_BGA.2000~str_MIL.2017,0.39,3,17
str_BGA.2000~str_MOH.2013,0.0276,3,10
str_BGA.2000~str_MPH.2011,0.3614,3,12
str_BGA.2000~str_MRB.2016,0.1275,3,5
str_BGA.2000~str_MRV.2016,0.3335,3,5
str_BGA.2000~str_MSQ.2000,0.1669,3,3
str_BGA.2000~str_MUR.2017,0.2465,3,14
str_BGA.2000~str_NFB.2016,0.268,3,7
str_BGA.2000~str_NFC.2012,0.3402,3,16
str_BGA.2000~str_NFG.2009,0.2215,3,7
str_BGA.2000~str_OHR.2011,0.5763,3,1
str_BGA.2000~str_PEC.2018,0.116,3,15
str_BGA.2000~str_PKC.2000,0.167,3,2
str_BGA.2000~str_POI.2017,0.1422,3,16
str_BGA.2000~str_POL.2016,0.1587,3,19
str_BGA.2000~str_ROC.2009,0.0805,3,14
str_BGA.2000~str_ROC.2017,0.1215,3,8
str_BGA.2000~str_SEC.2010,0.2201,3,6
str_BGA.2000~str_SHE.2010,0.2515,3,3
str_BGA.2000~str_SIL.2015,0.2772,3,6
str_BGA.2000~str_SLK.2015,0.2335,3,20
str_BGA.2000~str_SNO.2010,0.2179,3,8
str_BGA.2000~str_TCR.2002,0.116,3,9
str_BGA.2000~str_TCR.2017,0.1186,3,14
str_BGA.2000~str_TNY.2001,0.1912,3,12
str_BGA.2000~str_TNY.2012,0.3023,3,3
str_BGA.2000~str_TOJ.2017,0.1251,3,17
str_BGA.2000~str_TRB.2010,0.1572,3,8
str_BGA.2000~str_UNK.0,0.4964,3,1
str_BGA.2000~str_UWF.2015,0.2481,3,9
str_BGA.2000~str_WAC.1997,0.2031,3,17
str_BGA.2000~str_WAC.2016,0.2129,3,8
str_BGA.2000~str_WHO.2011,0.0509,3,8
str_BGA.2000~str_WIC.2000,0.1736,3,16
str_BGA.2000~str_WIC.2017,0.2587,3,11
str_BGA.2000~str_WIL.1996,-0.0138,3,8
str_BGA.2000~str_WLN.2009,0.1192,3,14
str_BGA.2000~str_WLN.2017,0.1019,3,8
str_BGA.2000~str_WMR.2000,0.4682,3,2
str_BGA.2000~str_WMR.2016,0.2327,3,5
str_BYD.2015~str_CCC.2017,0.1315,16,10
str_BYD.2015~str_CMC.2016,0.131,16,14
str_BYD.2015~str_COY.2009,0.1173,16,10
str_BYD.2015~str_COY.2015,0.1129,16,15
str_BYD.2015~str_CRA.2009,0.2409,16,21
str_BYD.2015~str_CWC.2000,0.1875,16,9
str_BYD.2015~str_DIX.2011,0.0864,16,6
str_BYD.2015~str_DIX.2014,0.075,16,3
str_BYD.2015~str_EFC.2017,0.0882,16,8
str_BYD.2015~str_FCC.2017,0.1411,16,9
str_BYD.2015~str_FOR.1997,0.0548,16,7
str_BYD.2015~str_FOR.2017,0.0867,16,16
str_BYD.2015~str_FRZ.1997,0.0502,16,5
str_BYD.2015~str_FRZ.2000,0.1425,16,6
str_BYD.2015~str_FRZ.2017,0.1945,16,14
str_BYD.2015~str_GAN.2000,0.0219,16,6
str_BYD.2015~str_GAN.2017,0.1525,16,17
str_BYD.2015~str_GOC.2017,0.094,16,10
str_BYD.2015~str_HAN.2012,0.0985,16,18
str_BYD.2015~str_INC.1998,0.1581,16,1
str_BYD.2015~str_INK.2000,-0.0131,16,4
str_BYD.2015~str_INK.2013,0.0336,16,2
str_BYD.2015~str_INK.2016,0.0233,16,2
str_BYD.2015~str_IPL.2016,0.1776,16,10
str_BYD.2015~str_JCC.2017,0.1559,16,15
str_BYD.2015~str_LEE.2016,0.0956,16,11
str_BYD.2015~str_LIN.2000,0.1366,16,8
str_BYD.2015~str_LIN.2017,0.1367,16,5
str_BYD.2015~str_LJK.2009,0.0642,16,12
str_BYD.2015~str_LJK.2015,0.0459,16,10
str_BYD.2015~str_LNF.2016,0.1485,16,12
str_BYD.2015~str_LNG.2012,0.0699,16,5
str_BYD.2015~str_LON.2011,0.1519,16,12
str_BYD.2015~str_LON.2016,0.0812,16,3
str_BYD.2015~str_LTA.2000,0.0533,16,3
str_BYD.2015~str_LWF.2015,0.0392,16,9
str_BYD.2015~str_MAC.2016,0.1842,16,17
str_BYD.2015~str_MAE.2016,0.073,16,5
str_BYD.2015~str_MAR.2017,0.1705,16,20
str_BYD.2015~str_MAU.2016,0.0864,16,4
str_BYD.2015~str_MEI.2017,0.1483,16,17
str_BYD.2015~str_MHK.2000,0.2428,16,20
str_BYD.2015~str_MHK.2016,0.1221,16,5
str_BYD.2015~str_MIL.2015,0.0258,16,20
str_BYD.2015~str_MIL.2017,0.0894,16,17
str_BYD.2015~str_MOH.2013,0.1098,16,10
str_BYD.2015~str_MPH.2011,0.0308,16,12
str_BYD.2015~str_MRB.2016,0.0836,16,5
str_BYD.2015~str_MRV.2016,0.1061,16,5
str_BYD.2015~str_MSQ.2000,0.123,16,3
str_BYD.2015~str_MUR.2017,0.085,16,14
str_BYD.2015~str_NFB.2016,0.1027,16,7
str_BYD.2015~str_NFC.2012,0.203,16,16
str_BYD.2015~str_NFG.2009,0.1395,16,7
str_BYD.2015~str_OHR.2011,0.116,16,1
str_BYD.2015~str_PEC.2018,0.1592,16,15
str_BYD.2015~str_PKC.2000,0.0659,16,2
str_BYD.2015~str_POI.2017,0.1026,16,16
str_BYD.2015~str_POL.2016,0.1622,16,19
str_BYD.2015~str_ROC.2009,0.1618,16,14
str_BYD.2015~str_ROC.2017,0.1304,16,8
str_BYD.2015~str_SEC.2010,0.1259,16,6
str_BYD.2015~str_SHE.2010,0.0406,16,3
str_BYD.2015~str_SIL.2015,-0.0051,16,6
str_BYD.2015~str_SLK.2015,0.0241,16,20
str_BYD.2015~str_SNO.2010,0.1316,16,8
str_BYD.2015~str_TCR.2002,0.1167,16,9
str_BYD.2015~str_TCR.2017,0.1542,16,14
str_BYD.2015~str_TNY.2001,0.1529,16,12
str_BYD.2015~str_TNY.2012,0.0613,16,3
str_BYD.2015~str_TOJ.2017,0.1754,16,17
str_BYD.2015~str_TRB.2010,0.1018,16,8
str_BYD.2015~str_UNK.0,0.0353,16,1
str_BYD.2015~str_UWF.2015,0.0326,16,9
str_BYD.2015~str_WAC.1997,0.1749,16,17
str_BYD.2015~str_WAC.2016,0.1231,16,8
str_BYD.2015~str_WHO.2011,0.1205,16,8
str_BYD.2015~str_WIC.2000,0.1681,16,16
str_BYD.2015~str_WIC.2017,0.1909,16,11
str_BYD.2015~str_WIL.1996,0.0823,16,8
str_BYD.2015~str_WLN.2009,0.149,16,14
str_BYD.2015~str_WLN.2017,0.1284,16,8
str_BYD.2015~str_WMR.2000,0.0456,16,2
str_BYD.2015~str_WMR.2016,0.088,16,5
str_CCC.2017~str_CMC.2016,0.0316,10,14
str_CCC.2017~str_COY.2009,0.139,10,10
str_CCC.2017~str_COY.2015,0.1083,10,15
str_CCC.2017~str_CRA.2009,0.3334,10,21
str_CCC.2017~str_CWC.2000,0.2674,10,9
str_CCC.2017~str_DIX.2011,0.3438,10,6
str_CCC.2017~str_DIX.2014,0.2848,10,3
str_CCC.2017~str_EFC.2017,0.2087,10,8
str_CCC.2017~str_FCC.2017,0.1729,10,9
str_CCC.2017~str_FOR.1997,0.1077,10,7
str_CCC.2017~str_FOR.2017,0.1527,10,16
str_CCC.2017~str_FRZ.1997,0.19,10,5
str_CCC.2017~str_FRZ.2000,0.3103,10,6
str_CCC.2017~str_FRZ.2017,0.2398,10,14
str_CCC.2017~str_GAN.2000,0.135,10,6
str_CCC.2017~str_GAN.2017,0.1096,10,17
str_CCC.2017~str_GOC.2017,0.2387,10,10
str_CCC.2017~str_HAN.2012,0.1406,10,18
str_CCC.2017~str_INC.1998,0.4395,10,1
str_CCC.2017~str_INK.2000,0.223,10,4
str_CCC.2017~str_INK.2013,0.2741,10,2
str_CCC.2017~str_INK.2016,0.3024,10,2
str_CCC.2017~str_IPL.2016,0.1444,10,10
str_CCC.2017~str_JCC.2017,0.1807,10,15
str_CCC.2017~str_LEE.2016,0.1689,10,11
str_CCC.2017~str_LIN.2000,0.0166,10,8
str_CCC.2017~str_LIN.2017,0.1096,10,5
str_CCC.2017~str_LJK.2009,0.1162,10,12
str_CCC.2017~str_LJK.2015,0.1945,10,10
str_CCC.2017~str_LNF.2016,0.1984,10,12
str_CCC.2017~str_LNG.2012,0.0587,10,5
str_CCC.2017~str_LON.2011,0.1691,10,12
str_CCC.2017~str_LON.2016,0.128,10,3
str_CCC.2017~str_LTA.2000,0.1526,10,3
str_CCC.2017~str_LWF.2015,0.2635,10,9
str_CCC.2017~str_MAC.2016,0.1595,10,17
str_CCC.2017~str_MAE.2016,0.1008,10,5
str_CCC.2017~str_MAR.2017,0.137,10,20
str_CCC.2017~str_MAU.2016,0.1237,10,4
str_CCC.2017~str_MEI.2017,0.1149,10,17
str_CCC.2017~str_MHK.2000,0.3417,10,20
str_CCC.2017~str_MHK.2016,0.2273,10,5
str_CCC.2017~str_MIL.2015,0.237,10,20
str_CCC.2017~str_MIL.2017,0.3357,10,17
str_CCC.2017~str_MOH.2013,0.1391,10,10
str_CCC.2017~str_MPH.2011,0.2813,10,12
str_CCC.2017~str_MRB.2016,0.1043,10,5
str_CCC.2017~str_MRV.2016,0.1803,10,5
str_CCC.2017~str_MSQ.2000,0.2324,10,3
str_CCC.2017~str_MUR.2017,0.2133,10,14
str_CCC.2017~str_NFB.2016,0.0401,10,7
str_CCC.2017~str_NFC.2012,0.2413,10,16
str_CCC.2017~str_NFG.2009,0.1574,10,7
str_CCC.2017~str_OHR.2011,0.361,10,1
str_CCC.2017~str_PEC.2018,0.1008,10,15
str_CCC.2017~str_PKC.2000,0.2155,10,2
str_CCC.2017~str_POI.2017,0.1069,10,16
str_CCC.2017~str_POL.2016,0.1427,10,19
str_CCC.2017~str_ROC.2009,0.1518,10,14
str_CCC.2017~str_ROC.2017,0.1411,10,8
str_CCC.2017~str_SEC.2010,0.2107,10,6
str_CCC.2017~str_SHE.2010,0.1451,10,3
str_CCC.2017~str_SIL.2015,0.1829,10,6
str_CCC.2017~str_SLK.2015,0.2194,10,20
str_CCC.2017~str_SNO.2010,0.1844,10,8
str_CCC.2017~str_TCR.2002,0.1143,10,9
str_CCC.2017~str_TCR.2017,0.1406,10,14
str_CCC.2017~str_TNY.2001,0.1675,10,12
str_CCC.2017~str_TNY.2012,0.1219,10,3
str_CCC.2017~str_TOJ.2017,0.1625,10,17
str_CCC.2017~str_TRB.2010,0.1366,10,8
str_CCC.2017~str_UNK.0,0.2469,10,1
str_CCC.2017~str_UWF.2015,0.2754,10,9
str_CCC.2017~str_WAC.1997,0.0545,10,17
str_CCC.2017~str_WAC.2016,0.0263,10,8
str_CCC.2017~str_WHO.2011,0.1962,10,8
str_CCC.2017~str_WIC.2000,0.1716,10,16
str_CCC.2017~str_WIC.2017,0.2059,10,11
str_CCC.2017~str_WIL.1996,0.1013,10,8
str_CCC.2017~str_WLN.2009,0.1328,10,14
str_CCC.2017~str_WLN.2017,0.0921,10,8
str_CCC.2017~str_WMR.2000,0.2153,10,2
str_CCC.2017~str_WMR.2016,0.1337,10,5
str_CMC.2016~str_COY.2009,0.1261,14,10
str_CMC.2016~str_COY.2015,0.0791,14,15
str_CMC.2016~str_CRA.2009,0.2593,14,21
str_CMC.2016~str_CWC.2000,0.2263,14,9
str_CMC.2016~str_DIX.2011,0.3452,14,6
str_CMC.2016~str_DIX.2014,0.2429,14,3
str_CMC.2016~str_EFC.2017,0.1997,14,8
str_CMC.2016~str_FCC.2017,0.1973,14,9
str_CMC.2016~str_FOR.1997,0.0881,14,7
str_CMC.2016~str_FOR.2017,0.1348,14,16
str_CMC.2016~str_FRZ.1997,0.1613,14,5
str_CMC.2016~str_FRZ.2000,0.3117,14,6
str_CMC.2016~str_FRZ.2017,0.2254,14,14
str_CMC.2016~str_GAN.2000,0.1454,14,6
str_CMC.2016~str_GAN.2017,0.1026,14,17
str_CMC.2016~str_GOC.2017,0.2293,14,10
str_CMC.2016~str_HAN.2012,0.0983,14,18
str_CMC.2016~str_INC.1998,0.4641,14,1
str_CMC.2016~str_INK.2000,0.1879,14,4
str_CMC.2016~str_INK.2013,0.2557,14,2
str_CMC.2016~str_INK.2016,0.3058,14,2
str_CMC.2016~str_IPL.2016,0.1278,14,10
str_CMC.2016~str_JCC.2017,0.2064,14,15
str_CMC.2016~str_LEE.2016,0.1767,14,11
str_CMC.2016~str_LIN.2000,0.0538,14,8
str_CMC.2016~str_LIN.2017,0.1366,14,5
str_CMC.2016~str_LJK.2009,0.1008,14,12
str_CMC.2016~str_LJK.2015,0.1808,14,10
str_CMC.2016~str_LNF.2016,0.1962,14,12
str_CMC.2016~str_LNG.2012,0.0291,14,5
str_CMC.2016~str_LON.2011,0.1357,14,12
str_CMC.2016~str_LON.2016,0.1179,14,3
str_CMC.2016~str_LTA.2000,0.1259,14,3
str_CMC.2016~str_LWF.2015,0.2783,14,9
str_CMC.2016~str_MAC.2016,0.151,14,17
str_CMC.2016~str_MAE.2016,0.0659,14,5
str_CMC.2016~str_MAR.2017,0.0965,14,20
str_CMC.2016~str_MAU.2016,0.1192,14,4
str_CMC.2016~str_MEI.2017,0.107,14,17
str_CMC.2016~str_MHK.2000,0.2668,14,20
str_CMC.2016~str_MHK.2016,0.1697,14,5
str_CMC.2016~str_MIL.2015,0.2272,14,20
str_CMC.2016~str_MIL.2017,0.2984,14,17
str_CMC.2016~str_MOH.2013,0.1332,14,10
str_CMC.2016~str_MPH.2011,0.2492,14,12
str_CMC.2016~str_MRB.2016,0.0903,14,5
str_CMC.2016~str_MRV.2016,0.135,14,5
str_CMC.2016~str_MSQ.2000,0.2302,14,3
str_CMC.2016~str_MUR.2017,0.1975,14,14
str_CMC.2016~str_NFB.2016,0.006,14,7
str_CMC.2016~str_NFC.2012,0.2182,14,16
str_CMC.2016~str_NFG.2009,0.1394,14,7
str_CMC.2016~str_OHR.2011,0.4179,14,1
str_CMC.2016~str_PEC.2018,0.0834,14,15
str_CMC.2016~str_PKC.2000,0.1836,14,2
str_CMC.2016~str_POI.2017,0.0955,14,16
str_CMC.2016~str_POL.2016,0.1409,14,19
str_CMC.2016~str_ROC.2009,0.1188,14,14
str_CMC.2016~str_ROC.2017,0.1396,14,8
str_CMC.2016~str_SEC.2010,0.1684,14,6
str_CMC.2016~str_SHE.2010,0.1093,14,3
str_CMC.2016~str_SIL.2015,0.165,14,6
str_CMC.2016~str_SLK.2015,0.202,14,20
str_CMC.2016~str_SNO.2010,0.1305,14,8
str_CMC.2016~str_TCR.2002,0.0661,14,9
str_CMC.2016~str_TCR.2017,0.1112,14,14
str_CMC.2016~str_TNY.2001,0.1448,14,12
str_CMC.2016~str_TNY.2012,0.0946,14,3
str_CMC.2016~str_TOJ.2017,0.1308,14,17
str_CMC.2016~str_TRB.2010,0.1046,14,8
str_CMC.2016~str_UNK.0,0.2471,14,1
str_CMC.2016~str_UWF.2015,0.285,14,9
str_CMC.2016~str_WAC.1997,0.0239,14,17
str_CMC.2016~str_WAC.2016,1e-04,14,8
str_CMC.2016~str_WHO.2011,0.1743,14,8
str_CMC.2016~str_WIC.2000,0.1356,14,16
str_CMC.2016~str_WIC.2017,0.1837,14,11
str_CMC.2016~str_WIL.1996,0.0657,14,8
str_CMC.2016~str_WLN.2009,0.1192,14,14
str_CMC.2016~str_WLN.2017,0.0807,14,8
str_CMC.2016~str_WMR.2000,0.2053,14,2
str_CMC.2016~str_WMR.2016,0.121,14,5
str_COY.2009~str_COY.2015,-0.004,10,15
str_COY.2009~str_CRA.2009,0.1987,10,21
str_COY.2009~str_CWC.2000,0.1684,10,9
str_COY.2009~str_DIX.2011,0.3073,10,6
str_COY.2009~str_DIX.2014,0.1307,10,3
str_COY.2009~str_EFC.2017,0.2273,10,8
str_COY.2009~str_FCC.2017,0.202,10,9
str_COY.2009~str_FOR.1997,0.0797,10,7
str_COY.2009~str_FOR.2017,0.1009,10,16
str_COY.2009~str_FRZ.1997,0.0641,10,5
str_COY.2009~str_FRZ.2000,0.1124,10,6
str_COY.2009~str_FRZ.2017,0.0832,10,14
str_COY.2009~str_GAN.2000,0.1049,10,6
str_COY.2009~str_GAN.2017,0.0725,10,17
str_COY.2009~str_GOC.2017,0.2406,10,10
str_COY.2009~str_HAN.2012,0.1263,10,18
str_COY.2009~str_INC.1998,0.4541,10,1
str_COY.2009~str_INK.2000,0.1337,10,4
str_COY.2009~str_INK.2013,0.2964,10,2
str_COY.2009~str_INK.2016,0.2085,10,2
str_COY.2009~str_IPL.2016,0.1519,10,10
str_COY.2009~str_JCC.2017,0.1898,10,15
str_COY.2009~str_LEE.2016,0.1261,10,11
str_COY.2009~str_LIN.2000,0.183,10,8
str_COY.2009~str_LIN.2017,0.182,10,5
str_COY.2009~str_LJK.2009,0.0319,10,12
str_COY.2009~str_LJK.2015,0.1096,10,10
str_COY.2009~str_LNF.2016,0.1682,10,12
str_COY.2009~str_LNG.2012,0.07,10,5
str_COY.2009~str_LON.2011,0.111,10,12
str_COY.2009~str_LON.2016,0.1081,10,3
str_COY.2009~str_LTA.2000,0.0599,10,3
str_COY.2009~str_LWF.2015,0.2101,10,9
str_COY.2009~str_MAC.2016,0.1517,10,17
str_COY.2009~str_MAE.2016,0.0252,10,5
str_COY.2009~str_MAR.2017,0.0528,10,20
str_COY.2009~str_MAU.2016,0.0602,10,4
str_COY.2009~str_MEI.2017,0.1078,10,17
str_COY.2009~str_MHK.2000,0.1994,10,20
str_COY.2009~str_MHK.2016,0.1047,10,5
str_COY.2009~str_MIL.2015,0.2176,10,20
str_COY.2009~str_MIL.2017,0.3051,10,17
str_COY.2009~str_MOH.2013,0.115,10,10
str_COY.2009~str_MPH.2011,0.2492,10,12
str_COY.2009~str_MRB.2016,0.0265,10,5
str_COY.2009~str_MRV.2016,0.0939,10,5
str_COY.2009~str_MSQ.2000,0.1599,10,3
str_COY.2009~str_MUR.2017,0.2273,10,14
str_COY.2009~str_NFB.2016,0.1213,10,7
str_COY.2009~str_NFC.2012,0.1884,10,16
str_COY.2009~str_NFG.2009,0.1355,10,7
str_COY.2009~str_OHR.2011,0.2763,10,1
str_COY.2009~str_PEC.2018,0.062,10,15
str_COY.2009~str_PKC.2000,0.1142,10,2
str_COY.2009~str_POI.2017,0.1136,10,16
str_COY.2009~str_POL.2016,0.1262,10,19
str_COY.2009~str_ROC.2009,0.0773,10,14
str_COY.2009~str_ROC.2017,0.049,10,8
str_COY.2009~str_SEC.2010,0.1391,10,6
str_COY.2009~str_SHE.2010,0.1066,10,3
str_COY.2009~str_SIL.2015,0.1826,10,6
str_COY.2009~str_SLK.2015,0.2026,10,20
str_COY.2009~str_SNO.2010,0.1329,10,8
str_COY.2009~str_TCR.2002,0.0263,10,9
str_COY.2009~str_TCR.2017,0.0503,10,14
str_COY.2009~str_TNY.2001,0.1394,10,12
str_COY.2009~str_TNY.2012,0.0591,10,3
str_COY.2009~str_TOJ.2017,0.0445,10,17
str_COY.2009~str_TRB.2010,0.0999,10,8
str_COY.2009~str_UNK.0,0.1769,10,1
str_COY.2009~str_UWF.2015,0.2643,10,9
str_COY.2009~str_WAC.1997,0.1568,10,17
str_COY.2009~str_WAC.2016,0.1354,10,8
str_COY.2009~str_WHO.2011,0.1278,10,8
str_COY.2009~str_WIC.2000,0.0695,10,16
str_COY.2009~str_WIC.2017,0.1323,10,11
str_COY.2009~str_WIL.1996,0.0716,10,8
str_COY.2009~str_WLN.2009,0.0474,10,14
str_COY.2009~str_WLN.2017,0.0721,10,8
str_COY.2009~str_WMR.2000,0.1104,10,2
str_COY.2009~str_WMR.2016,0.0846,10,5
str_COY.2015~str_CRA.2009,0.1558,15,21
str_COY.2015~str_CWC.2000,0.1116,15,9
str_COY.2015~str_DIX.2011,0.2764,15,6
str_COY.2015~str_DIX.2014,0.1188,15,3
str_COY.2015~str_EFC.2017,0.1917,15,8
str_COY.2015~str_FCC.2017,0.2185,15,9
str_COY.2015~str_FOR.1997,0.0612,15,7
str_COY.2015~str_FOR.2017,0.0895,15,16
str_COY.2015~str_FRZ.1997,0.0421,15,5
str_COY.2015~str_FRZ.2000,0.1451,15,6
str_COY.2015~str_FRZ.2017,0.1024,15,14
str_COY.2015~str_GAN.2000,0.0793,15,6
str_COY.2015~str_GAN.2017,0.0621,15,17
str_COY.2015~str_GOC.2017,0.2068,15,10
str_COY.2015~str_HAN.2012,0.0875,15,18
str_COY.2015~str_INC.1998,0.4064,15,1
str_COY.2015~str_INK.2000,0.0585,15,4
str_COY.2015~str_INK.2013,0.2587,15,2
str_COY.2015~str_INK.2016,0.1635,15,2
str_COY.2015~str_IPL.2016,0.1369,15,10
str_COY.2015~str_JCC.2017,0.2161,15,15
str_COY.2015~str_LEE.2016,0.1168,15,11
str_COY.2015~str_LIN.2000,0.1422,15,8
str_COY.2015~str_LIN.2017,0.1737,15,5
str_COY.2015~str_LJK.2009,0.0449,15,12
str_COY.2015~str_LJK.2015,0.102,15,10
str_COY.2015~str_LNF.2016,0.1648,15,12
str_COY.2015~str_LNG.2012,0.0305,15,5
str_COY.2015~str_LON.2011,0.0951,15,12
str_COY.2015~str_LON.2016,0.0955,15,3
str_COY.2015~str_LTA.2000,0.0041,15,3
str_COY.2015~str_LWF.2015,0.229,15,9
str_COY.2015~str_MAC.2016,0.1397,15,17
str_COY.2015~str_MAE.2016,0.0132,15,5
str_COY.2015~str_MAR.2017,0.039,15,20
str_COY.2015~str_MAU.2016,0.0446,15,4
str_COY.2015~str_MEI.2017,0.1048,15,17
str_COY.2015~str_MHK.2000,0.1633,15,20
str_COY.2015~str_MHK.2016,0.0779,15,5
str_COY.2015~str_MIL.2015,0.1872,15,20
str_COY.2015~str_MIL.2017,0.246,15,17
str_COY.2015~str_MOH.2013,0.0934,15,10
str_COY.2015~str_MPH.2011,0.2014,15,12
str_COY.2015~str_MRB.2016,0.0217,15,5
str_COY.2015~str_MRV.2016,0.0704,15,5
str_COY.2015~str_MSQ.2000,0.0986,15,3
str_COY.2015~str_MUR.2017,0.1927,15,14
str_COY.2015~str_NFB.2016,0.0745,15,7
str_COY.2015~str_NFC.2012,0.1007,15,16
str_COY.2015~str_NFG.2009,0.0908,15,7
str_COY.2015~str_OHR.2011,0.166,15,1
str_COY.2015~str_PEC.2018,0.0696,15,15
str_COY.2015~str_PKC.2000,0.0425,15,2
str_COY.2015~str_POI.2017,0.1015,15,16
str_COY.2015~str_POL.2016,0.1275,15,19
str_COY.2015~str_ROC.2009,0.0583,15,14
str_COY.2015~str_ROC.2017,0.0499,15,8
str_COY.2015~str_SEC.2010,0.1187,15,6
str_COY.2015~str_SHE.2010,0.0657,15,3
str_COY.2015~str_SIL.2015,0.0908,15,6
str_COY.2015~str_SLK.2015,0.1598,15,20
str_COY.2015~str_SNO.2010,0.1011,15,8
str_COY.2015~str_TCR.2002,0.0115,15,9
str_COY.2015~str_TCR.2017,0.0449,15,14
str_COY.2015~str_TNY.2001,0.1046,15,12
str_COY.2015~str_TNY.2012,0.0166,15,3
str_COY.2015~str_TOJ.2017,0.05,15,17
str_COY.2015~str_TRB.2010,0.0877,15,8
str_COY.2015~str_UNK.0,0.1687,15,1
str_COY.2015~str_UWF.2015,0.2587,15,9
str_COY.2015~str_WAC.1997,0.129,15,17
str_COY.2015~str_WAC.2016,0.0911,15,8
str_COY.2015~str_WHO.2011,0.0621,15,8
str_COY.2015~str_WIC.2000,0.0625,15,16
str_COY.2015~str_WIC.2017,0.1241,15,11
str_COY.2015~str_WIL.1996,0.02,15,8
str_COY.2015~str_WLN.2009,0.0504,15,14
str_COY.2015~str_WLN.2017,0.0443,15,8
str_COY.2015~str_WMR.2000,0.0425,15,2
str_COY.2015~str_WMR.2016,0.0497,15,5
str_CRA.2009~str_CWC.2000,0.2523,21,9
str_CRA.2009~str_DIX.2011,0.5853,21,6
str_CRA.2009~str_DIX.2014,0.5832,21,3
str_CRA.2009~str_EFC.2017,0.357,21,8
str_CRA.2009~str_FCC.2017,0.4148,21,9
str_CRA.2009~str_FOR.1997,0.287,21,7
str_CRA.2009~str_FOR.2017,0.2821,21,16
str_CRA.2009~str_FRZ.1997,0.4639,21,5
