Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
Corral Canyon	Quinn	2017	0.29	0.0113674632208172	0.0158275955538016	0.0116913045769263	0.0161999958610128	0.0150393207489762	0.0231000968337185	0.000176934285550016	0.000195293	0.000242347170164797	0.000288291	18.364468016755	18	-0.312023743111948	-0.384619838538909	NA	NA	NA	NA	NA	10
Cottonwood	Steens out of basin	2000	0.02	0.0053430238146256	0.0046565928957979	0.00554775553315857	0.00490982257997965	0.0061179268744953	0.00497273058853164	8.73957945770914e-05	8.64402e-05	0.00011298178480176	0.000111348	12.0251357252936	12	-0.255377775337761	-0.251863356863554	64.0350189133669	63.6	64.0353305128008	63.6	NA	15
Coyote	Maggie	2009	0.192857142857143	0.0167780669414307	0.0184464476180579	0.0178209612484794	0.0202358412267148	0.0210716675543376	0.0341218411103069	0.000242269951089337	0.000268997	0.000275434168707165	0.000301354	31.17438732893	13	-0.12812035427056	-0.113463463726723	18.7902104940304	14.6	18.7965953787251	14.6	11.8	14
Coyote	Maggie	2015	0.0833333333333333	0.0178754736019102	0.0204609244093234	0.0183574029438421	0.020327986046216	0.0309642977304592	0.0225576343249917	0.000231988504895055	0.000261004	0.000289451802298789	0.000292795	26.1727250679781	44	-0.220402207543088	-0.114810608180946	NA	NA	NA	NA	NA	18
Crane Canyon	Reese	2009	0	0.00543155072212669	0.00425664294111097	0.00558416312651475	0.00436397882228407	0.00730357886666404	0.00444937644283899	0.000109608983281378	5.85416e-05	0.00014052256670914	8.2981e-05	4.00000000000008	4	-0.24717860205107	-0.345378052692644	6.20357090553746	6.2	6.20093639271425	6.2	NA	21
Dixie	South Fork Humboldt	2011	0	0.0235028784287359	0.0199787030295505	0.0280721641023348	0.0267709691438505	0.0248470567804293	0.0271802885598358	0.000197169451487813	0.000209255	0.000208835785724409	0.000224727	NA	NA	-0.0574688854592201	-0.0713024964169022	NA	NA	NA	NA	NA	6
Dixie	South Fork Humboldt	2014	0	0.0240579901253174	0.0293135435992579	0.0283403849500162	0.0321583178726036	0.0259771244062147	0.0264128228272203	0.000201949070269657	0.000195566	0.000205849487904843	0.00016517	NA	NA	-0.0191291389192082	0.168522132529052	NA	NA	NA	NA	NA	3
East Fork Carson	Carson	2017	0.05	0.017184393872787	0.0176968190330651	0.0216312599727052	0.0222685463627112	0.0221864165404534	0.0229784374896672	0.00023371760193657	0.000246583	0.000237882318641483	0.000230544	17.062839313233	17	-0.0176620755143839	0.0672315756601491	146.277382164815	145.2	146.285663538566	145.2	130.9	20
Falls Canyon	Quinn	2017	2.56363636363636	0.0295351175280363	0.0756221640853001	0.0302270619087305	0.0782821200033242	0.0235944649833271	0.0808899635394636	0.000242473589281512	0.000565845	0.000322801045715812	0.00066848	58.2219429694283	55	-0.284206831373852	-0.166301419804347	NA	NA	NA	NA	NA	11
Foreman	North Fork Humboldt	1997	0.25	0.0325744582171588	0.0332387372152692	0.0337127140073189	0.0353852362326939	0.0783663822376541	0.106256028897228	0.000240665727878014	0.000281456	0.000337015069313432	0.000377137	81.6254953423548	112	-0.333572941679372	-0.290561849275653	NA	NA	NA	NA	NA	7
Foreman	North Fork Humboldt	2017	0.210526315789474	0.032265449912469	0.0417536791263925	0.0355008529918615	0.0444192214519227	0.0623533142111669	0.05811046211838	0.000243225951629703	0.000242998	0.000326262508207969	0.000365161	64.9532878058488	34	-0.29161804824609	-0.401746911580689	NA	NA	NA	NA	NA	19
Frazier	Rock	1997	0.05	0.0176786637715166	0.0214444868856634	0.0197957800890811	0.0232397504456328	0.0389499600072246	0.0402464466116498	0.000214580769144768	0.000195015	0.000229321892191754	0.000184542	37.4119593267382	15	-0.0664160156310055	0.0551853871750488	NA	NA	NA	NA	NA	6
Frazier	Rock	2000	0	0.0175951515957897	0.0170514354066986	0.0200640009367625	0.0197587719298246	0.0242028205249897	0.024472139138187	0.000175532010072927	0.000202896	0.000163772816699118	0.000235789	34.9111281962622	60	0.0693134458809744	-0.149961817705187	NA	NA	NA	NA	NA	6
Frazier	Rock	2017	0	0.0173696554668267	0.0153156628939635	0.0215839190736237	0.0201439623299045	0.0229368919807373	0.0252744104450728	0.000217140992896457	0.000193675	0.000218569331086292	0.000175182	20.7397517902322	18	-0.00655636605889296	0.100271921096794	NA	NA	NA	NA	NA	20
Gance	North Fork Humboldt	2000	0.0166666666666667	0.0209086521259078	0.0254616977225673	0.0207886317084084	0.0253623188405797	0.0284630656139922	0.0291690559855498	0.000219343521799327	0.000216677	0.000270005773713715	0.000243027	29.1457714060189	15	-0.207059670378286	-0.114638985086055	NA	NA	NA	NA	NA	6
Gance	North Fork Humboldt	2017	0.0789473684210526	0.0206831559969448	0.0174155088364406	0.0223085498452696	0.0187427675451963	0.0271971370697398	0.0238808534101249	0.000260952504622857	0.000299174	0.000324802288100889	0.000396836	14.9743949999889	29	-0.218008573796322	-0.280633898938234	26.917766967923	25.2	26.9185566082322	25.2	NA	19
Golden Canyon	Carson	2017	0.0666666666666667	0.0178325075218783	0.0187799675098648	0.0226155333668313	0.0237874178552145	0.022901544747543	0.0244089467460043	0.000245761864532742	0.000278855	0.00026726602698436	0.000297679	9.0837857509777	9	-0.0838323327335174	-0.0653005720391166	13.0547523180833	11.6	13.0523182603006	11.6	8.7	12
