Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
Mill	Walker	2015	0	0.0213386075186917	0.0247439500772765	0.0278647003215643	0.0318581475499045	0.0380012907734948	0.0373258297894911	0.000124015533062542	0.000115716	0.000195461836752167	0.000153508	11.3504647383485	17	-0.447269887886345	-0.280747630226131	NA	NA	NA	NA	NA	20
Mill	Walker	2017	0.0176470588235294	0.0213386061008625	0.0132790340140888	0.0280937100124754	0.0199620732311123	0.0264541640432533	0.0194832231920457	0.000140117781477101	9.84525e-05	0.000178509260165059	0.000103361	9.68922798299614	4	-0.240980668119653	-0.0486439212441189	NA	NA	NA	NA	NA	17
Mohawk	Reese	2000	0.02	0.00545942704307109	0.00458845141779569	0.0046164595041528	0.00504535945959651	0.00672371198593212	0.00741161573256108	9.24304587630495e-05	9.46797e-05	0.000100100922007085	0.000118345	21.1674395635043	9	-0.0796801353977069	-0.222183624715819	-31.3218261585035	14.9	-31.3218261585035	14.9	NA	20
Mohawk	Reese	2016	0	0.00545942741504827	0.00502679994205418	0.00644853703144217	0.00491090830073881	0.00920647192715373	0.00656489925924957	0.00014244156713345	9.0758e-05	0.000183841555618636	0.000109086	7.87754552068622	20	-0.253767268965622	-0.183423069994596	NA	NA	NA	NA	NA	5
Mosquito	Steens out of basin	2000	0	0.00934048837225736	0.00915032679738562	0.00932695364774462	0.00915032679738562	0.00984126061192667	0.00947708253502218	8.70237302833129e-05	7.12927e-05	0.000103590603437196	7.35488e-05	12.0000000000003	12	-0.17382610038314	-0.0311526737847923	NA	NA	NA	NA	NA	3
Murphy	Walker	2011	0	0.0252061061707961	0.0215563161172598	0.0317197601620267	0.0285303890808478	0.0333513016857192	0.0276167488005914	0.000134317609454435	0.00011962	0.000198804775178046	0.000149326	16.0000000000001	16	-0.387168012109167	-0.220906799134399	NA	NA	NA	NA	NA	12
Murray Canyon	Carson	2017	0.0214285714285714	0.0208476838880056	0.0215064559872067	0.0271218457009652	0.0282943913973901	0.0259849602638781	0.0279708810933938	0.000223982078172518	0.000198815	0.000231210133325424	0.000188659	21.04819830449	21	-0.0317582549539668	0.0524215818351682	NA	NA	NA	NA	NA	14
North Fork Battle	Quinn	2016	0	0.010738888274975	0.00967614161877526	0.0116020797564252	0.0105109579685851	0.0127466665639152	0.010634411151659	0.000192719569059317	0.000165811	0.000240598914375478	0.000193586	42.0000000000001	42	-0.220989166843907	-0.154564451010999	NA	NA	NA	NA	NA	7
North Fork Cold	East Fork Humboldt	2012	0	0.0102670780418092	0.00753796677170803	0.0112622744981487	0.00830471317759453	0.014719246612921	0.00785001673770364	0.000205902529083145	0.000214948	0.000224512954631863	0.00019566	11.9999999999997	12	-0.0864765616147764	0.0939484861473716	NA	NA	NA	NA	NA	16
North Fork Green	South Fork Humboldt	2009	0	0.0109167321053782	0.00857214638179436	0.0114339343895739	0.0092940957347737	0.0132043667150749	0.00912399708935023	0.000191410471815777	0.000144463	0.000208808567278302	0.000139915	19.0000000000001	19	-0.0869428675952394	0.031985596635464	NA	NA	NA	NA	NA	7
