Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	theta_diff	pred_theta_diff	n	LDNe_0.01	LDNe_0.02	LDNe_0.05
Corral Canyon	Quinn	2017	0.29	0.0135850387404647	0.017753234	0.014094084415177	0.018304512	0.0169890441082967	0.025113606	0.000148328395849625	0.000167089857543968	0.00021342295693307	0.000246314858835891	18.652283724225	18	-0.383280587535081	-0.359885653959378	10	NA	NA	NA
Cottonwood	Steens out of basin	2000	0.033333333	0.0073135471935311	0.006775352	0.00743107225526201	0.007120721	0.00815970450612279	0.007111086	7.59461905414037e-05	8.26202666423297e-05	0.000100151992913041	0.00010301264763817	12.0749751399659	12	-0.219706522142151	-0.27491257316574	9	NA	NA	NA
Coyote	Maggie	2009	0.21	0.0188221167333742	0.020538884	0.0196411972636967	0.023212135	0.0251014139841926	0.041811663	0.000223668592814823	0.000251757175518669	0.000233015819078008	0.000262187808630171	31.3329920226467	13	-0.0405904656459542	-0.0409351666917816	10	46.2	46.2	46.2
Coyote	Maggie	2015	0.093333333	0.0193857737123721	0.022241517	0.0203726730080931	0.021376501	0.0343118395195141	0.022688647	0.00021465765525796	0.000227176214856732	0.000240117957638459	0.000239323165364232	26.3492817571138	44	-0.0520770274196138	-0.111968635337967	15	NA	NA	NA
Crane Canyon	Reese	2009	0	0.00618510762056626	0.004427871	0.00603423640024397	0.004539425	0.00793663529402889	0.004630283	6.66501149821571e-05	3.40560118290609e-05	0.000111191832533296	5.82728115471247e-05	4.00000000000006	4	-0.5245772410506	-0.50091351532538	21	6.2	6.2	NA
Dixie	South Fork Humboldt	2011	0	0.0249122919465706	0.021796165	0.0297145058925106	0.028952123	0.0265670395831227	0.029458531	0.000167921422734228	0.000174159262707719	0.000177432120161093	0.000196007030473275	NA	NA	-0.118042988613625	-0.0550780359577687	6	NA	NA	NA
Dixie	South Fork Humboldt	2014	0	0.0251941204360695	0.03079922	0.0300802437647088	0.033788174	0.0272515670764	0.027909037	0.000165525061297536	0.000157417776383465	0.000168664578578095	0.000130970757964781	NA	NA	0.183412412552766	-0.0187888366720654	3	NA	NA	NA
East Fork Carson	Carson	2017	0.0625	0.0201830232195091	0.020970561	0.0252346771112562	0.02630662	0.0253523422145103	0.027153351	0.000217202192186483	0.000231798993856291	0.000225752764196316	0.000236819932923753	17.1405783888416	17	-0.0214286652993794	-0.0386069594057923	8	NA	NA	NA
Falls Canyon	Quinn	2017	2.577777778	0.0311301586624742	0.07999851	0.0337955704232237	0.082199007	0.0239066234356692	0.082800887	0.000275425611890404	0.000563479635814613	0.000320429354583621	0.000629628558356591	60.7980775491648	55	-0.110885036017926	-0.151056029488273	9	NA	NA	NA
Foreman	North Fork Humboldt	1997	0.25	0.0334244501177625	0.035792828	0.0361209498795577	0.038243644	0.0808519522593312	0.116218959	0.000223935808882386	0.000245888387759762	0.000306571143978877	0.000339294530714775	81.7630635396233	112	-0.319237421346834	-0.311533466812459	7	NA	NA	NA
Foreman	North Fork Humboldt	2017	0.15625	0.035303306714422	0.043412904	0.0385592023608792	0.046336788	0.0699655962869198	0.062553726	0.000220332572875732	0.000237337742583092	0.000299017034791262	0.000338851951817979	65.1506959878473	34	-0.352363848993889	-0.303011538870683	16	NA	NA	NA
Frazier	Rock	1997	0.06	0.018960193740586	0.024166667	0.0218721736862381	0.026296296	0.0342426195974629	0.030674897	0.000204035199699211	0.000214560621616576	0.000208117405862901	0.000182482686204965	37.4130593126098	15	0.161584062895371	-0.0198091974118275	5	NA	NA	NA
Frazier	Rock	2000	0	0.0192420222300849	0.019226168	0.0222379115584363	0.022138623	0.0238838980063909	0.026633547	0.000148886250439485	0.000162737643474035	0.000127753510812377	0.000186444031106292	34.9212041798434	60	-0.135782541628218	0.152781650269486	6	NA	NA	NA
Frazier	Rock	2017	0	0.0208390503372455	0.017340743	0.0243104261675596	0.02199054	0.0233562636250515	0.027337179	0.000200431963692557	0.000176623298285371	0.000200563296675286	0.000159626789195674	20.8006917608338	18	0.101094451555526	-0.000655035087488396	14	NA	NA	NA
Gance	North Fork Humboldt	2000	0.016666667	0.0233822516909662	0.029399774	0.0239858917170527	0.029295689	0.0318148594425231	0.03143936	0.000181169719927285	0.00017227232421852	0.000209017635963857	0.000174135507682149	29.1782317988146	15	-0.0107571670848553	-0.142741252970492	6	NA	NA	NA
Gance	North Fork Humboldt	2017	0.088235294	0.0249792797981268	0.020428175	0.026058406326176	0.021853093	0.0312872250611837	0.028155656	0.000232715433180357	0.00026127384987081	0.000281827421826766	0.000350279436931647	15.0577193798049	29	-0.291080398001646	-0.190895619941041	17	46.2	46.2	NA
Golden Canyon	Carson	2017	0.03	0.0202562093440724	0.02053443	0.025849199656245	0.026561926	0.0257432881500291	0.027143986	0.000220878155769693	0.000234693667168789	0.000228541151476604	0.000239293201564188	9.06747762664402	9	-0.0194078557817185	-0.0341017645808954	10	8.2	8.2	8.2
Hanks	Marys	2012	0.088888889	0.0228386467023209	0.02566535	0.0271290200650805	0.030368673	0.0265883889036925	0.030904807	0.000211260482484195	0.000202340733299849	0.000273136677303209	0.000300145645404319	19.1999337088248	19	-0.389283834346687	-0.255477116530457	18	NA	NA	NA
Independence Lake	Truckee	2016	0.18	0.0171803280274868	0.019218911	0.0181579716496054	0.020281112	0.0204394535107623	0.020766935	0.000239990998387375	0.000260176582156315	0.000264477305656865	0.00028983322003743	90.4048657598637	90	-0.107840397617744	-0.0970776838631363	10	NA	NA	NA
Jackson	Quinn	2017	5.593333333	-0.00377448899979286	0.081392138	-0.00646236033151674	0.08030485	-0.00154991590642713	0.101584127	7.90164379576057e-05	0.000519908897364583	7.88595844453653e-05	0.000431671111876138	27.58082861131	15	0.185455315646766	0.00198704666931563	15	19.9	19.9	22.7
Lee	South Fork Humboldt	2016	0.6	0.0231173780527746	0.034653028	0.0229991527456593	0.03378362	0.0209957635004451	0.033355795	0.000155260023999227	0.000195390842879625	0.000235730515326557	0.000300766277495151	21.3495525328789	20	-0.424766390678541	-0.41162372606811	11	NA	NA	NA
Line Canyon	Quinn	2000	0.075	0.0170813834953867	0.012226587	0.0192962949753028	0.013388824	0.016078378705509	0.014776108	0.000111894350178612	9.4929937073112e-05	0.000138270999935139	9.08153526778681e-05	26.1014544154842	24	0.0443035126302274	-0.210873726073837	8	NA	NA	NA
Line Canyon	Quinn	2017	1.74	0.0186784116025474	0.054924316	0.0213688095844261	0.059185994	0.0155507443241695	0.054851569	0.000163440063431685	0.000340013466424682	0.000211080785798048	0.000413882159709619	11.9809419964746	10	-0.195965305339967	-0.254408919900425	5	NA	NA	NA
Little Alvord	Steens out of basin	2000	0	0.00761249200988317	0.006639194	0.00784178407169516	0.00709707	0.00814889192344193	0.006419574	4.49078386650932e-05	3.14489511666884e-05	6.44807060171128e-05	3.47330736440931e-05	6.00000000000011	6	-0.0992451496246663	-0.35785954386508	3	NA	NA	NA
Little Jack	Maggie	2009	0.183333333	0.0256591239077936	0.036181163	0.0274264020263177	0.038056426	0.0418600960160719	0.044135374	0.000178699561208224	0.000209647367105066	0.000249254360263412	0.00029326534980247	34.5456487853011	52	-0.332534771487108	-0.329730821545303	12	NA	NA	NA
Little Jack	Maggie	2015	0.309090909	0.0262227808867914	0.026067743	0.0281578777707141	0.027604167	0.0510705215513933	0.068696962	0.000169688623651361	0.000170797128881726	0.000256356498823864	0.000269755786277854	29.5619385197682	11	-0.449247543216381	-0.406848338828442	10	NA	NA	NA
Long Canyon	Little Humboldt	2011	0.2	0.0124888272976208	0.018851256	0.0121663133090961	0.019214307	0.0137620506980888	0.022443463	0.00017218631064376	0.000204760394669446	0.000193234636754361	0.000212826586271039	36.4498508442932	36	-0.0386323902312587	-0.115200435336121	12	NA	NA	NA
Long Canyon	Little Humboldt	2016	1.033333333	0.0129585414467857	0.025407609	0.0127758764294265	0.024682971	0.013242471587032	0.02573505	0.000177734683169499	0.00024842807882953	0.000209518250029996	0.000275362467373866	NA	NA	-0.102844118663711	-0.164148876022192	3	NA	NA	NA
Long Canyon	South Fork Humboldt	2012	0	0.0150715525885415	0.013687788	0.0146987253173501	0.013098464	0.0168732394145913	0.015470407	0.000197622826414853	0.000212645056367569	0.00020055720011556	0.000203977756111949	NA	NA	0.0416074204100194	-0.0147389296558948	5	NA	NA	NA
Lower Wolf	Walker	2015	0.644444444	0.0659724348367134	0.08775022	0.0767536869324979	0.097072121	0.0756064856291977	0.103716645	0.000154723232994275	0.000229377592790741	0.000289104702680749	0.000400527422473962	24.4495193861667	23	-0.543414722968349	-0.605556608247704	9	NA	NA	NA
Macklin	Yuba out of basin	2016	0	0.0210348981729381	0.021408622	0.0248718127124699	0.025417427	0.0235441169574353	0.023296509	0.000219568193519086	0.000229315471955835	0.000229254524477125	0.000232440492112727	24.9999999999999	25	-0.0135353753933452	-0.0431632828270567	17	NA	NA	NA
Mahogany	Black Rock	2013	0.57	0.0163074354815152	0.025298869	0.0165404352214962	0.025463501	0.016732932033204	0.026241783	0.000255764213098435	0.000333584213422586	0.000308788636302339	0.000405229923788417	33.2820749062349	32	-0.19394785984007	-0.187845737596347	10	NA	NA	NA
Mainstem	Marys	2017	0.05	0.0172663845780425	0.017094228	0.0181067353570751	0.017803322	0.0187116595519329	0.018095257	0.000240132356859683	0.000239052159702812	0.000259870705095109	0.000258745818561746	30.1124627110734	30	-0.0791230969944506	-0.0789529094412224	20	673	673	NA
Marys River Basin	Marys	2016	0.08	0.0180770726789026	0.018754033	0.0193715148141267	0.01998645	0.0229955878426362	0.023709172	0.00027333237691186	0.000294635649464987	0.000287246810638087	0.000308546364960043	NA	NA	-0.0461244372755911	-0.0496430621587686	5	NA	NA	NA
Marysville	Reese	2016	0.06	0.00850307340674242	0.008386028	0.00898490462403016	0.009123758	0.0095814116418691	0.00839935	0.000140722865172056	0.000154641526986395	0.000168860850329817	0.000164719147133578	NA	NA	-0.063111215399033	-0.181779491289752	5	NA	NA	NA
Meiss Meadows	Truckee	2017	0.064705882	0.0200919357457861	0.021320884	0.0201695820907874	0.020931213	0.0240981231846928	0.026582218	0.000257490541126534	0.000276041396261037	0.000263962832911327	0.000282442867604353	58.1455399782421	58	-0.0229244466048516	-0.024824047966841	17	NA	NA	NA
Mill	Walker	2015	0	0.0223996952995502	0.02569044	0.0290015346760567	0.033076765	0.039674674953392	0.038919106	7.95056934693164e-05	7.23795231691351e-05	0.000130017522024845	9.93521459170133e-05	11.3504647385651	17	-0.314125203480641	-0.482159730475652	20	NA	NA	NA
Mill	Walker	2017	0.017647059	0.0225875809592161	0.013716151	0.0292453599241888	0.020661802	0.0275384178449233	0.020166905	9.06339022635821e-05	7.61999256551639e-05	0.000124678070158351	8.23308267765318e-05	9.68922798338761	4	-0.0773465214455405	-0.316231071703294	17	NA	NA	NA
Mohawk	Reese	2000	0.02	0.00487711515479015	0.00469744	0.00465042016304515	0.005172302	0.00668460670297583	0.007340664	4.8579189599653e-05	6.85309318857205e-05	6.02063506226723e-05	8.18615946021624e-05	21.1674395629253	9	-0.177278260133704	-0.213762987236297	20	14.9	14.9	NA
Mohawk	Reese	2016	0	0.00638020043211783	0.004953327	0.00660102214810238	0.004832882	0.00933761509448402	0.006531241	9.77129992426454e-05	6.43192958526917e-05	0.000136550473288965	8.04174331869912e-05	7.87754552150438	20	-0.222447162390768	-0.331570890046287	5	NA	NA	NA
Mosquito	Steens out of basin	2000	0	0.00967871362544422	0.00951087	0.00969812874579707	0.00951087	0.010198622507466	0.009813901	5.61992997886969e-05	4.90113524276306e-05	7.557815223057e-05	5.51290182263746e-05	12.0000000000001	12	-0.117488842421529	-0.294114845065297	3	NA	NA	NA
Murphy	Walker	2011	0	0.026525802585326	0.022407996	0.0330876900927822	0.029657612	0.0350535529246621	0.029072389	9.75672270216004e-05	8.27457931931205e-05	0.000153591459360853	0.000114048066937411	16.0000000000005	16	-0.318122463002941	-0.446126177407548	12	NA	NA	NA
Murray Canyon	Carson	2017	0.021428571	0.0216657305256082	0.022351561	0.0281469150689563	0.029406231	0.0270712371264363	0.029169839	0.000176477355860666	0.000164889512053312	0.000183283087103178	0.000155414320855137	21.0481983037817	21	0.0591637702998282	-0.0378347946563763	14	NA	NA	NA
North Fork Battle	Quinn	2016	0	0.0114738013785017	0.010056369	0.0121213392325277	0.01092399	0.0133220215349528	0.011094228	0.000137966939910279	0.000127125301522224	0.000171615157619285	0.00014285559863996	42.0000000000001	42	-0.116528962665777	-0.217378317270378	7	NA	NA	NA
North Fork Cold	East Fork Humboldt	2012	0	0.010904572218179	0.00774384	0.0117415871391044	0.008540716	0.0153345613638375	0.008092239	0.000177507275064734	0.000181039622517118	0.000178024411813275	0.00016315552332426	11.9999999999999	12	0.103918369616403	-0.00290908949962901	16	NA	NA	NA
North Fork Green	South Fork Humboldt	2009	0	0.0115540765278427	0.008908992	0.011969362536792	0.009659311	0.0138084357574246	0.00949591	0.000136364632627696	0.000113724458987135	0.00015247007805837	0.000103229976946531	18.9999999999999	19	0.0967436503009572	-0.111520152078808	7	NA	NA	NA
Pearl	South Fork Humboldt	2018	0.086666667	0.0184077317337488	0.019539009	0.0201100509112054	0.021365152	0.0201467170919062	0.021114629	0.000217855153932941	0.000244470678358881	0.000260568284443777	0.000301508103197395	31.1949353666099	31	-0.20893641571906	-0.178557850993927	15	124.7	124.7	NA
Pike	Steens out of basin	2000	0	0.00790019906368027	0.007039055	0.0081464205534318	0.007493188	0.00771872306214723	0.00570722	6.31727790537629e-05	5.98576937201616e-05	7.64538611811853e-05	5.67384796180683e-05	NA	NA	0.0535045707382674	-0.190237079472433	2	NA	NA	NA
Poison Flat	Carson	2017	0.0875	0.0230554398423881	0.025376431	0.0256538744237758	0.027269975	0.0239261226710053	0.025296755	0.000202528315511019	0.000211147077286313	0.000232750978129285	0.00025172152942389	25.1968097443783	25	-0.175317364579794	-0.138865611389458	16	71.5	71.5	NA
Pole	Truckee	2016	0.225	0.0218554130725418	0.026461148	0.0245221584726107	0.02930934	0.0301508360036178	0.037758226	0.000243694578395997	0.000269845526847244	0.000290977800101095	0.000342209656263663	38.5060821998295	38	-0.236462761571962	-0.176868017151013	19	73.8	73.8	NA
Rock	Rock	2009	0	0.0188333850204537	0.019965439	0.0194140544250627	0.020452436	0.0209745619621987	0.018596311	0.000204795628340857	0.000220743918406072	0.000218172271569654	0.000247341888045541	40.3505891881234	46	-0.113645700309089	-0.0632513400266422	14	NA	NA	NA
Rock	Rock	2017	0.025	0.0195849276591175	0.019077084	0.0203893554175913	0.019592851	0.0180487303890515	0.019400864	0.000206912899578259	0.000192092127317882	0.000219934958263611	0.000196260603241744	33.705642167413	28	-0.0214674732316423	-0.0610149890464076	8	NA	NA	NA
Secret	Little Humboldt	2010	0.033333333	0.0160891488278852	0.016481794	0.0162015801356419	0.016327913	0.0168404467267529	0.015803446	0.000216604855305781	0.000232973106593011	0.000223530432257628	0.000234534517700127	NA	NA	-0.00667972467604909	-0.0314702190328183	6	NA	NA	NA
SFLH Tributary	Little Humboldt	2010	0.05	0.0172537782974304	0.018376238	0.0187920613354799	0.019975158	0.0191205255925528	0.01991603	0.000228554999537273	0.000253007599094646	0.000242705436342532	0.000271135909399181	28.1124627110734	28	-0.069173079550783	-0.0600535743207105	8	NA	NA	NA
Sheep	Little Humboldt	2010	0.066666667	0.0200941327543665	0.022599638	0.022894785138305	0.025588768	0.0226404155929595	0.026081725	0.000183236226345147	0.000183967728538798	0.000196686477366699	0.000187917620776319	NA	NA	-0.0212425267346258	-0.0708051974264387	3	NA	NA	NA
Silver	Walker	2015	0	0.032677651405463	0.030811475	0.0356770410748184	0.032878098	0.0394233420841272	0.030774774	8.4668756495704e-05	6.44432726684752e-05	0.000139700034237651	7.33606205422109e-05	17.0000000000003	17	-0.129420840964226	-0.490543070291338	6	NA	NA	NA
Slinkard	Walker	2015	0.095454545	0.0299462795134053	0.028595049	0.0372816589848644	0.036561624	0.0460067775535447	0.043605821	0.000102471175448741	0.000100423395590507	0.000193481611560852	0.000179993139005356	20.2147015382996	20	-0.567511067273726	-0.615033479033671	20	NA	NA	NA
Snowstorm	Little Humboldt	2010	0	0.0129263005986155	0.011534367	0.0135551049944096	0.01232901	0.0170584197700435	0.0154908	0.000178779707687353	0.000171245811798629	0.000179598643449285	0.000151073005809101	30.0000000000002	30	0.125172995726727	-0.0045702300897071	8	NA	NA	NA
T	Marys	2002	0.1	0.016815686861063	0.018246137	0.0179806851564033	0.01994182	0.0238129599167466	0.024462205	0.00021018131255234	0.000204592559258768	0.000239639115287929	0.000257380876139227	39.9304641021717	36	-0.228533992804072	-0.130975833521059	9	NA	NA	NA
T	Marys	2017	0.078571429	0.0182248293085577	0.019123588	0.0198093745173944	0.020207247	0.0201328595188363	0.022397697	0.000223847418793758	0.000230478969798036	0.000242219301500653	0.000219052057540384	27.4711884383398	31	0.0508392594180134	-0.0788379942480737	14	NA	NA	NA
Tierney	Reese	2001	0	0.0105641538299406	0.013606262	0.0108997872046353	0.013875984	0.0146395913626368	0.015982745	0.000152578343745533	0.000171201672390003	0.000195765755827088	0.000237233200883918	34.0000000000003	34	-0.323339326853367	-0.247958338519537	12	NA	NA	NA
Tierney	Reese	2012	0	0.0115975249581033	0.008798186	0.0122408260693621	0.00952381	0.0115717554411142	0.010206063	0.000139916275026904	0.000133030112503348	0.00016905061024788	0.000135512425965058	NA	NA	-0.0184873016831339	-0.188591959912237	3	NA	NA	NA
Toe Jam	Rock	2017	0.017647059	0.0172849532840451	0.016890903	0.018810167467973	0.018454797	0.0190780003839414	0.018578481	0.000225699757898505	0.000236622290573548	0.000215120622087412	0.00021598208793197	35.0396927219521	35	0.091206376348948	0.0479974896416158	17	NA	NA	NA
Unnamed	Marys	2016	0.3	0.026309638180822	0.033836624	0.0296536071178948	0.037037037	0.031494985396182	0.042229866	0.000328355627940598	0.000399325426565624	0.000341413095424642	0.000426046910595565	12.6747762664397	12	-0.0647501323386915	-0.0389909741333913	4	NA	NA	NA
Upper Wolf	Walker	2015	0.818181818	0.0654328855380109	0.089875545	0.078612395623356	0.102395787	0.0885129718946122	0.128600536	0.000153075697073354	0.000241905147820207	0.000296023811493389	0.000427418292090192	32.8402989080626	31	-0.554330337795489	-0.636598845882688	9	NA	NA	NA
Washburn	Quinn	1997	0.235294118	0.0122416597747951	0.015930461	0.0136196764643034	0.017359469	0.0188584844910092	0.017457527	0.000143848903168783	0.000176639094920665	0.000203193291635106	0.000275476720068965	35.6554927311926	31	-0.437222595942887	-0.342000997889365	17	NA	NA	NA
Washburn	Quinn	2016	0	0.0140265735416217	0.013809373	0.0159360163215589	0.016081107	0.0111527712914454	0.013657805	0.000137833763552049	0.000114564609194264	0.000199173519250876	0.000140417900640016	19.8737435570052	24	-0.202784822084893	-0.364026291590241	8	NA	NA	NA
West Marys	Marys	2000	0	0.0146616828968158	0.015603799	0.0148700079481762	0.015603799	0.0172616400719096	0.015909091	0.000183175017681112	0.000128483317578453	0.000162187705746755	0.000128628899332969	NA	NA	-0.00113243747235992	0.121537794965534	2	NA	NA	NA
West Marys	Marys	2016	0.04	0.0161647681741435	0.014492193	0.0168206099332334	0.015266486	0.0199146484634178	0.019151398	0.000232308827324104	0.00028204631780988	0.000238531828413048	0.000249308754131009	20.0899701688588	20	0.123222927219985	-0.0264335758312997	5	NA	NA	NA
Whitehorse	Coyote Lake	2011	0.0375	0.0128202973762957	0.012164185	0.013181352785345	0.012669258	0.0149710748141387	0.012865147	0.000126791362817439	0.000119787326171235	0.000212249097580817	0.000217197137732174	21.0843470333051	21	-0.578126424183519	-0.504115259063735	8	NA	NA	NA
Wildcat	Marys	2000	0	0.0170251898900859	0.017573628	0.0193079675341751	0.019294861	0.0215601436444482	0.021115087	0.000195330190587879	0.00019750728563341	0.000190259690271215	0.000166065557636197	25.1829428033008	24	0.172959716762439	0.0262999656804647	16	NA	NA	NA
Wildcat	Marys	2017	0.109090909	0.0186222179972465	0.019408057	0.0213804821432985	0.02306192	0.0210325092631087	0.023577731	0.000246875903840952	0.000252496159070329	0.000263069476134124	0.000293639858134621	11.0624303842912	12	-0.150671985615817	-0.0635110069786837	11	182.6	182.6	NA
Willow-Nelson	Rock	2009	0.057142857	0.0170454858313352	0.019031191	0.0184710356000302	0.021405198	0.0231880528729349	0.02346702	0.000221343451077015	0.000249876629591736	0.000214814590230542	0.000243447894319945	37.3867379165219	32	0.0260629056946779	0.0299380510188486	14	NA	NA	NA
Willow-Nelson	Rock	2017	0	0.017797028469999	0.016270511	0.0194463365925588	0.017008646	0.0202622212997877	0.021058707	0.000223460722314418	0.00020803701863354	0.0002165772769245	0.00019324820677219	30.7417908958115	36	0.0737072332847409	0.0312856862444787	8	NA	NA	NA
Willow	Coyote Lake	1996	0.025	0.0138253011106098	0.013903407	0.013878227575291	0.013915416	0.0175122345610668	0.016798988	0.000136344228213968	0.000133861563668015	0.000221077760781199	0.00022609861246224	28.0562313555366	28	-0.512484740872269	-0.474137211341953	8	NA	NA	NA
