OffspringID1	OffspringID2	Probability
EFH_NFC_2012_016	EFH_NFC_2012_017	0.003
LHU_ABE_2016_003	LHU_ABE_2016_012	0.228
LHU_ABE_2016_010	LHU_ABE_2016_011	0.01
LHU_ABE_2016_010	LHU_ABE_2016_012	0.083
LHU_ABE_2016_010	LHU_ABE_2016_015	0.128
LHU_ABE_2016_010	LHU_ABE_2016_017	0.028
LHU_ABE_2016_010	LHU_ABE_2016_018	0.009
LHU_ABE_2016_010	LHU_ABE_2016_555	0.081
LHU_ABE_2016_011	LHU_ABE_2016_015	0.04
LHU_ABE_2016_015	LHU_ABE_2016_017	0.001
LHU_ABE_2016_015	LHU_ABE_2016_555	0.052
LHU_ABE_2016_017	LHU_ABE_2016_111	0.033
LHU_ABE_2016_017	LHU_ABE_2016_444	0.006
LHU_ABE_2016_333	LHU_ABE_2016_444	0.128
LHU_ABE_2016_333	LHU_ABE_2016_666	0.607
LHU_ABE_2016_444	LHU_ABE_2016_666	0.037
LHU_INK_2000_104	LHU_INK_2000_107	0.001
LHU_INK_2000_104	LHU_INK_2000_121	0.005
LHU_INK_2000_107	LHU_INK_2000_121	0.012
LTR_IPL_2016_002	LTR_IPL_2016_041	0.013
MAG_BEA_2009_052	MAG_BEA_2009_055	0.02
MAG_BEA_2009_052	MAG_BEA_2009_057	0.006
MAG_BEA_2009_052	MAG_BEA_2009_063	0.001
MAG_BEA_2009_055	MAG_BEA_2009_062	0.001
MAG_BEA_2009_057	MAG_BEA_2009_061	0.003
MAG_BEA_2009_058	MAG_BEA_2009_063	0.527
MAG_BEA_2009_059	MAG_BEA_2009_064	0.292
MAG_BEA_2009_060	MAG_BEA_2009_061	0.002
MAG_BEA_2009_060	MAG_BEA_2009_062	0.002
MAG_BEA_2015_062	MAG_BEA_2015_066	0.002
MAG_BEA_2015_063	MAG_BEA_2015_075	0.864
MAG_BEA_2015_064	MAG_BEA_2015_071	0.001
MAG_BEA_2015_064	MAG_BEA_2015_074	0.02
MAG_BEA_2015_064	MAG_BEA_2015_087	0.027
MAG_BEA_2015_066	MAG_BEA_2015_074	0.05
MAG_BEA_2015_066	MAG_BEA_2015_082	0.012
MAG_BEA_2015_067	MAG_BEA_2015_077	0.991
MAG_BEA_2015_067	MAG_BEA_2015_078	1
MAG_BEA_2015_068	MAG_BEA_2015_074	0.038
MAG_BEA_2015_068	MAG_BEA_2015_079	1
MAG_BEA_2015_069	MAG_BEA_2015_072	0.995
MAG_BEA_2015_069	MAG_BEA_2015_081	1
MAG_BEA_2015_071	MAG_BEA_2015_074	0.025
MAG_BEA_2015_072	MAG_BEA_2015_081	0.984
MAG_BEA_2015_074	MAG_BEA_2015_079	0.039
MAG_BEA_2015_074	MAG_BEA_2015_082	0.014
MAG_BEA_2015_074	MAG_BEA_2015_083	0.041
MAG_BEA_2015_074	MAG_BEA_2015_084	0.022
MAG_BEA_2015_074	MAG_BEA_2015_086	0.012
MAG_BEA_2015_074	MAG_BEA_2015_087	0.006
MAG_BEA_2015_077	MAG_BEA_2015_078	1
MAG_BEA_2015_084	MAG_BEA_2015_086	0.918
MAG_COY_2009_012	MAG_COY_2009_017	0.008
MAG_COY_2009_012	MAG_COY_2009_021	0.987
MAG_COY_2009_012	MAG_COY_2009_023	0.169
MAG_COY_2009_013	MAG_COY_2009_026	0.007
MAG_COY_2009_016	MAG_COY_2009_018	0.173
MAG_COY_2009_017	MAG_COY_2009_021	0.217
